NCT Number,Title,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Start Date,Primary Completion Date,Completion Date,allocation,intervention_model,observational_model,time_perspective,masking,primary_purpose,country,Start_Month,Start Year,Is_Country_Unknown,Study_Duration_Days
NCT04407130,Efficacy and Safety of Ivermectin and Doxycycline in Combination or IVE Alone in Patients With COVID-19 Infection.,Completed,No Results Available,COVID-19 Patients,Drug: Ivermectin + Doxycycline + Placebo|Drug: Ivermectin + Placebo|Drug: Placebo,Virological clearance|Remission of fever|Remission of cough|Patients requiring oxygen|Patients failing to maintain SpO2 >93% despite oxygenation|Number of days on oxygen support|Duration of hospitalization|All causes of mortality,"International Centre for Diarrhoeal Disease Research, Bangladesh",All,"40 Years to 65 Years   (Adult, Older Adult)",Phase 2,72,Other,Interventional,2020-06-16,2020-10-30,2020-11-20,Randomized,Parallel Assignment,N/A,N/A,"Double (Participant, Investigator)",Treatment,Bangladesh,2020-06,2020,False,157
NCT04412226,Effect of Using Barrier Devices for Intubation in COVID-19 Patients,Completed,No Results Available,"Intubation, Intratracheal|COVID-19",Device: aerosol box|Device: transparent sheet,First pass success|Time to endotracheal intubation|Difficulty level of accessing the equipment|Difficulty level of inserting the endotracheal tube into the glottis|Clarity of the view of the patient's face,Derince Training and Research Hospital,All,"Child, Adult, Older Adult",N/A,13,Other,Observational,2020-06-10,2020-06-30,2020-06-30,N/A,N/A,Other,Prospective,N/A,N/A,Turkey,2020-06,2020,False,20
NCT04794803,Reparixin in COVID-19 Pneumonia - Efficacy and Safety,Terminated,No Results Available,Severe Pneumonia,Drug: Reparixin|Drug: Standard of care,Phase 2 primary endpoint - Composite endpoint of clinical events|Phase 3 Primary Endpoint: Composite endpoint of death and of severe clinical events|Phase 2/3 Secondary Endpoint: Changes in clinical severity score (as recommended by the World Health Organization -WHO- for COVID studies)|Phase 2/3 Secondary Endpoint: Dyspnea severity|Phase 2/3 Secondary Endpoint: duration of supplemental oxygen treatment|Phase 2/3 Secondary Endpoint: quantity of supplemental oxygen treatment|Phase 2/3 Secondary Endpoint: Incidence of mechanical ventilation use|Phase 2/3 Secondary Endpoint: duration of mechanical ventilation use|Phase 2/3 Secondary Endpoint: Incidence of intensive care unit (ICU) admission need|Phase 2/3 Secondary Endpoint: Lung damage extension changes from baseline|Phase 2/3 Secondary Endpoint: Change from baseline in lung exudation degree|Phase 2/3 Secondary Endpoint: PaO2|Phase 2/3 Secondary Endpoint: SpO2|Phase 2/3 Secondary Endpoint: Partial arterioral oxygen pressure (PaO2) to fraction of inspiration O2 (FiO2) ratio|Phase 2/3 Secondary Endpoint: C-reactive protein (CRP)|Phase 2/3 Secondary Endpoint: Hs-CRP,Dompé Farmaceutici S.p.A,All,"18 Years to 90 Years   (Adult, Older Adult)",Phase 2|Phase 3,55,Industry,Interventional,2020-05-05,2020-11-30,2021-02-02,Randomized,Parallel Assignment,N/A,N/A,None (Open Label),Treatment,Brazil,2020-05,2020,False,273
NCT04365101,Natural Killer Cell (CYNK-001) Infusions in Adults With COVID-19,Recruiting,No Results Available,"Coronavirus|Coronavirus Infection|Severe Acute Respiratory Syndrome Coronavirus 2|Pneumonia|Pneumonia, Viral|Lung Diseases|Respiratory Tract Disease|Respiratory Tract Infections|Coronaviridae Infections|Nidovirales Infections|RNA Virus Infections|Virus Disease|Immunologic Disease|ARDS|Immunologic Factors|Physiological Effects of Drugs|Antiviral Agents|Anti-infective Agents|Analgesics|Antimetabolites, Antineoplastic",Biological: CYNK-001,Phase 1: Frequency and Severity of Adverse Events (AE)|Phase 1 Futility Check for go/no decision to move to Phase 2: Rate of clinical improvement|Phase 2: Time to Clinical Improvement by Ordinal Scale for Clinical Improvement (OSCI)|Rate of Clearance of SARS-CoV-2|Time to Clearance of SARS-CoV-2|Phase 2: Frequency and Severity of Adverse Events (AE)|Overall Clinical Benefit by time to medical discharge|Overall Clinical Benefit by hospital utilization|Overall Clinical Benefit by measuring mortality rate|Impact of CYNK-001 on sequential organ failure assessment (SOFA) score|Time to Pulmonary Clearance|Rate of Pulmonary Clearance|Supplemental oxygen-free days|Proportion of patients requiring ventilation|Duration of hospitalization|Radiologic Evaluation Score|All-cause mortality rate|Time to clinical improvement by NEWS2 Score|Rate of clinical improvement by NEWS2 Score,Celularity Incorporated|IDRI|Lung Biotechnology PBC|California Institute for Regenerative Medicine (CIRM),All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,86,Industry|Other,Interventional,2020-05-13,2021-12-30,2022-06-30,Randomized,Sequential Assignment,N/A,N/A,None (Open Label),Treatment,United States,2020-05,2020,False,778
NCT04358926,Hyperbaric Oxygen Therapy Effect in COVID-19 RCT (HBOTCOVID19),Completed,No Results Available,COVID-19|Desaturation of Blood,Device: Hyperbaric oxygen therapy,SpO2|NEWS Score|Inflammation level -CRP|white blood cells number|Cytokines - IL1|Cytokines - IL2|Cytokines - IL6|Cytokines - IL10|Cytokines - TNFalpha|Inflammation level - procalcitonin|Inflammation level - ferritin|Symptoms level|Number of patients with IgM seroconversion|Number of patients with IgG seroconversion|FEV1/FVC|Time to symptoms recovery|Number of patients who required invasive ventilation|Time to negative virus PCR|Mortality rate|Number of barotrauma events (safety),Assaf-Harofeh Medical Center,All,"18 Years and older   (Adult, Older Adult)",N/A,30,Other,Interventional,2020-04-30,2020-10-15,2020-11-01,Randomized,Parallel Assignment,N/A,N/A,Single (Outcomes Assessor),Treatment,Israel,2020-04,2020,False,185
NCT04481516,Yoga in NHS Health Care Workers With COVID-19 Related Stress,Recruiting,No Results Available,Stress,Other: Yoga,Alleviated stress 1 - short term|Alleviated stress 2 - short term|Alleviated stress 3 - short term|Alleviated stress 1 - medium term|Alleviated stress 2 - medium term|Alleviated stress 3 - medium term,Doncaster And Bassetlaw Hospitals NHS Foundation Trust,All,"18 Years and older   (Adult, Older Adult)",N/A,30,Other,Observational,2020-07-01,2020-12-31,2021-02-01,N/A,N/A,Cohort,Prospective,N/A,N/A,United Kingdom,2020-07,2020,False,215
NCT04435353,Assessment of the Effectiveness of Vibroacoustic Therapy for Respiratory Failure Caused by COVID 19,Recruiting,No Results Available,Respiratory Distress Syndrome|Hypoxemia,Device: VibroLUNG,Recovery respiratory fail,Astana Medical University,All,"18 Years to 75 Years   (Adult, Older Adult)",N/A,200,Other,Interventional,2020-03-22,2020-12-31,2021-02-01,Randomized,Parallel Assignment,N/A,N/A,Single (Outcomes Assessor),Treatment,Kazakhstan,2020-03,2020,False,316
NCT04686409,App-based Symptom Tracking After Corona Vaccination (CoCoV),Not yet recruiting,No Results Available,Adverse Events in COVID-19 Vaccination,Biological: COVID-19 vaccines,Number of participants with treatment-related side effects|Distribution and deviation of documented side effects,University of Ulm,All,"18 Years to 95 Years   (Adult, Older Adult)",N/A,500,Other,Observational,2021-01-11,2022-01-31,2022-08-31,N/A,N/A,Case-Only,Prospective,N/A,N/A,Germany,2021-01,2021,False,597
NCT04340219,"Oncology-patient-reported Anxiety, Mood, and QoL During the COVID-19 Pandemic",Completed,No Results Available,Cancer,Other: Survey administration,"Distress at baseline measured by the COVID-19 Peritraumatic Distress Index (CPDI); in terms of proportions (0-28 vs ≥ 29).|Depression at baseline measured by the 7-item depression subscale of the 21-item Depression, Anxiety, and Stress Scale (DASS-21) (DASS-21-Depression); in terms of proportions (0-4 vs ≥ 5).|Anxiety at baseline measured by the 7-item anxiety subscale of the DASS-21 (DASS-21-Anxiety); in terms of proportions (0-3 vs ≥ 4).|Stress at baseline measured by the 7-item stress subscale of the DASS-21 (DASS-21-Stress); in terms of proportions (0-7 vs ≥ 8).|Distress measured at baseline by the CPDI; in terms of continuous values.|Depression at baseline measured by the DASS-21-Depression; in terms of continuous values.|Anxiety at baseline measured by the DASS-21-Anxiety; in terms of continuous values.|Stress at baseline measured by the DASS-21-Stress; in terms of continuous values.|Domain-specific quality of life at baseline measured by the 7-item physical health domain of the World Health Organization Quality of Life-BREF (WHOQOL-BREF) questionnaire (WHOQOL-BREF-Physical health); in terms of continuous values.|Domain-specific quality of life at baseline measured by the 6-item psychological health domain of the WHOQOL-BREF questionnaire (WHOQOL-BREF-Psychological health); in terms of continuous values.|Domain-specific quality of life at baseline measured by the 3-item social relationships domain of the WHOQOL-BREF questionnaire (WHOQOL-BREF-Social relationships); in terms of continuous values.|Domain-specific quality of life at baseline measured by the 8-item environment domain of the WHOQOL-BREF questionnaire (WHOQOL-BREF-Environment); in terms of continuous values.|Overall perception of quality of life and overall perception of health at baseline measured by the two items from the Overall QOL and General Health in the WHOQOL-BREF questionnaire-in terms of continuous values.|Change from baseline in distress measured by CDPI; in terms of continuous values.|Change from baseline in depression measured by the DASS-21-Depression; in terms of continuous values.|Change from baseline in anxiety measured by the DASS-21-Anxiety; in terms of continues values.|Change from baseline in stress measured by the DASS-21-Stress; in terms of continuous values.|Change from baseline in domain-specific quality of life at baseline measured by the WHOQOL-BREF-Physical health; in terms of continuous values.|Change from baseline in domain-specific quality of life at baseline measured by the WHOQOL-BREF-Psychological health; in terms of continuous values.|Change from baseline in domain-specific quality of life measured by the WHOQOL-BREF-Social relationship; in terms of continuous values.|Change from baseline in domain-specific quality of life measured by the WHOQOL-BREF-Environment; in terms of continuous values.|Change from baseline in overall perception of quality of life and overall perception of health measured by the 2 items from the Overall QOL and General Health in the WHOQOL-BREF questionnaire; in terms of continuous values.|The real-life impact of COVID-19 on systemic treatment administration will be assessed using descriptive statistics","University Hospital, Ghent",All,"18 Years and older   (Adult, Older Adult)",N/A,394,Other,Observational,2020-03-30,2020-04-10,2020-09-18,N/A,N/A,Cohort,Prospective,N/A,N/A,Belgium,2020-03,2020,False,172
NCT04393233,Drug Management of Rheumatoid Arthritis in Covid-19 Context : Impact on Therapeutic De-escalation,Recruiting,No Results Available,Rheumatoid Arthritis|COVID,N/A,Reduction or discontinuation of the DMARD therapy in relation to the Covid-19 sanitary crisis,"University Hospital, Brest",All,"18 Years and older   (Adult, Older Adult)",N/A,300,Other,Observational,2020-04-23,2020-05-23,2020-05-23,N/A,N/A,Cohort,Prospective,N/A,N/A,France,2020-04,2020,False,30
NCT04625114,The Potential of Oral Camostat in Early COVID-19 Disease in an Ambulatory Setting to Reduce Viral Load and Disease Burden,Recruiting,No Results Available,Covid19,Drug: Camostat|Drug: Placebo,Efficacy in terms of viral load or surrogate,"University Hospital, Ghent",All,"18 Years to 100 Years   (Adult, Older Adult)",Phase 2,150,Other,Interventional,2020-11-04,2022-10-01,2023-01-01,Randomized,Parallel Assignment,N/A,N/A,"Triple (Participant, Care Provider, Investigator)",Treatment,Belgium,2020-11,2020,False,788
NCT04307459,Acute Respiratory Failure and COVID-19 in Real Life,Recruiting,No Results Available,Coronavirus Infections|Respiratory Failure|Ventilator Lung,Other: standard operating procedures,Real life data of the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection|in-hospital mortality|30 days mortality|6 months mortality|Intubation rate|Time to Intubation|Time to ventilation|Non invasive to Invasive time|Recovery rate|Recurrence rate|Risk factor for COVID19|Blood tests and outcome|Antiviral therapy|Coinfections|Radiological findings|Ultrasound findings|Myocardial injury|Medical management,University of Milan,All,"18 Years and older   (Adult, Older Adult)",N/A,50,Other,Observational,2020-03-19,2020-09-01,2020-12-31,N/A,N/A,Cohort,Prospective,N/A,N/A,Italy,2020-03,2020,False,287
NCT04411628,A Study of LY3819253 (LY-CoV555) in Participants Hospitalized for COVID-19,Completed,No Results Available,COVID-19,Drug: LY3819253|Drug: Placebo,Number of Participants with One or More Serious Adverse Event(s) (SAEs) Considered by the Investigator to be Related to Study Drug Administration|Pharmacokinetics (PK): Area Under the Concentration-time Curve (AUC) of LY3819253|Pharmacodynamics (PD): Change from Baseline to Day 29 in Viral Load,Eli Lilly and Company|AbCellera Biologics Inc.,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 1,24,Industry|Other,Interventional,2020-05-28,2020-08-26,2020-08-26,Randomized,Parallel Assignment,N/A,N/A,"Double (Participant, Investigator)",Basic Science,United States,2020-05,2020,False,90
NCT04396106,Safety and Efficacy of AT-527 in Subjects With Moderate Coronavirus Disease (COVID-19),Recruiting,No Results Available,COVID-19,Drug: AT-527|Other: Placebo,Proportions (active vs. placebo) of subjects with progressive respiratory insufficiency.|Proportions (active vs. placebo) of subjects experiencing treatment-emergent adverse events|Time to clinical recovery|Proportions (active vs. placebo) of subjects with respiratory failure or death,"Atea Pharmaceuticals, Inc.",All,"18 Years and older   (Adult, Older Adult)",Phase 2,190,Industry,Interventional,2020-05-26,2021-03-01,2021-05-01,Randomized,Parallel Assignment,N/A,N/A,"Triple (Participant, Care Provider, Investigator)",Treatment,United States,2020-05,2020,False,340
