NCT Number,Title,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Start Date,Primary Completion Date,Completion Date,allocation,intervention_model,observational_model,time_perspective,masking,primary_purpose,country,Start_Month,Start Year,Is_Country_Unknown,Study_Duration_Days
NCT04689711,Prognostic Models for COVID-19 Care,Enrolling by invitation,No Results Available,Covid19,N/A,"Changes in model discrimination (Model 1: need for MV in patients hospitalized with COVID-19)|Changes in model discrimination (Model 2: mortality in patients receiving MV)|Changes in model discrimination (Model 3: length of stay in the ICU)|Changes in model calibration (Model 1: need for MV in patients hospitalized with COVID-19)|Changes in model calibration (Model 2: mortality in patients receiving MV)|Changes in model calibration (Model 3: length of stay in the ICU)|Changes in net benefit (Model 1: need for MV in patients hospitalized with COVID-19)|Changes in net benefit (Model 2: mortality in patients receiving MV)|Changes in net benefit (Model 3: length of stay in the ICU)|Changes in model discrimination in external database after updating (Model 1: need for MV in patients hospitalized with COVID-19)|Changes in model discrimination in external database after updating (Model 2: mortality in patients receiving MV)|Changes in model discrimination in external database after updating (Model 3: length of stay in the ICU)|Changes in model calibration in external database after updating (Model 1: need for MV in patients hospitalized with COVID-19)|Changes in model calibration in external database after updating (Model 2: mortality in patients receiving MV)|Changes in model calibration in external database after updating (Model 3: length of stay in the ICU)|Changes in net benefit in external database after updating (Model 1: need for MV in patients hospitalized with COVID-19)|Changes in net benefit in external database after updating (Model 2: mortality in patients receiving MV)|Changes in net benefit in external database after updating (Model 3: length of stay in the ICU)|Stakeholder perceptions, beliefs and opinions on COVID prediction models",Tufts Medical Center|Northwell Health|Erasmus Medical Center,All,"18 Years and older   (Adult, Older Adult)",N/A,16,Other,Observational,2020-12-07,2021-08-31,2021-08-31,N/A,N/A,Cohort,Prospective,N/A,N/A,United States,2020-12,2020,False,267
NCT04743388,Study of the Kinetics of Antibodies Against COVID-19 (SARS-CoV-2) and of Cellular Subpopulations of the Immune System,Recruiting,No Results Available,COVID-19|Healthy Volunteers|Chronic Disease|Hematological Malignancies|Solid Tumor,Biological: BNT162b2|Biological: Other vaccine against SARS-Cov-2,"Neutralizing antibodies against SARS-CoV-2|Development of anti-S-RBD antibodies against SARS-CoV-2|Number of memory B-cells against SARS-CoV-2|Number of memory T-cells against SARS-CoV-2|Number of monocytes (CD14+, CD16+)|Interleukin 6 (IL-6), Interleukin 3 (IL-3), Interleukin 1b (IL-1b) levels|TNF-a levels|CRP levels",National and Kapodistrian University of Athens,All,"18 Years and older   (Adult, Older Adult)",N/A,600,Other,Observational,2021-01-04,2021-11-01,2022-04-01,N/A,N/A,Cohort,Prospective,N/A,N/A,Greece,2021-01,2021,False,452
NCT04439045,Efficacy and Safety of VPM1002 in Reducing SARS-CoV-2 (COVID-19) Infection Rate and Severity,"Active, not recruiting",No Results Available,SARS-CoV-2 Infection,Biological: VPM1002|Other: Placebo,COVID-19 infection|Incidence of hospitalization for COVID-19|Incidence of ICU admission for COVID-19|Incidence of ARDS|Mechanical ventilation for COVID-19|Secondary infection in COVID-19|COVID-19-related Mortality|Incidence of DVT,"University Health Network, Toronto|Serum Institute of India Pvt. Ltd.|Max Planck Institute for Infection Biology|Verity Pharmaceuticals",All,"18 Years and older   (Adult, Older Adult)",Phase 3,122,Other|Industry,Interventional,2020-06-24,2021-09-02,2021-12-01,Randomized,Parallel Assignment,N/A,N/A,"Double (Participant, Care Provider)",Prevention,Canada,2020-06,2020,False,525
NCT04655638,HFNT vs. COT in COVID-19,Recruiting,No Results Available,Covid19|Acute Respiratory Failure,Device: High Flow Nasal Therapy|Device: Conventional Oxygen Therapy,Proportion of patients needing escalation of treatment during hospital stay|Proportion of patients needing intubation during hospital stay|Proportion of patients who receive CPAP during hospital stay|Proportion of patients who receive NIV during hospital stay|Proportion of patients admitted to intensive care unit during hospital stay|Time to escalation of treatment to CPAP/NIV during hospital stay|Time to escalation of treatment to intubation/invasive ventilation during hospital stay|National Early Warning Score 2 (NEWS2) during hospital stay|Dyspnea score (BORG scale) during hospital stay|ROX index during hospital stay|Length of stay in hospital|Length of stay in ICU|Days free from CPAP/NIV during hospital stay|Ventilator-free days during hospital stay|Oxygen-free days during hospital stay|28-day mortality|60-day mortality|Hospital mortality|Treatment interruption due to intolerance during study treatment,"Azienda Ospedaliera Universitaria Policlinico Paolo Giaccone Palermo|Azienda Ospedaliera, Universitaria Policlinico Vittorio Emanuele",All,"18 Years and older   (Adult, Older Adult)",N/A,364,Other,Interventional,2021-02-10,2022-01-10,2022-03-01,Randomized,Parallel Assignment,N/A,N/A,None (Open Label),Treatment,Italy,2021-02,2021,False,384
NCT04414267,Bacillus Calmette-guérin Vaccination to Prevent COVID-19,Recruiting,No Results Available,COVID-19|Virus Diseases|Corona Virus Infection|Coronary Heart Disease|Chronic Obstructive Pulmonary Disease,Biological: BCG vaccine|Biological: Placebo,"Positive for the respiratory questionnaire consisted of questions concerning the appearance of symptoms possibly, probably and/or definitively related to COVID-19 on visit 3.|Positive respiratory questionnaire endpoint consisted of questions concerning the appearance of symptoms possibly, probably and/or definitively related to COVID-19 on visit 4|Positive respiratory questionnaire endpoint consisted of questions concerning the appearance of symptoms possibly, probably and/or definitively related to COVID-19 on visit 5|Prevalence of IgG/IgM against SARS-CoV-2|Analysis of each of the components of the respiratory questionnaire consisted of questions concerning the appearance of symptoms possibly, probably and/or definitively related to COVID-19.|The impact of new cardiovascular events between the two study groups|Differences in repeated measurements of angiometric parameters (arterial hardness) between the two sub-study groups in Visit 3|Differences in repeated measurements of angiometric parameters (central arterial pressures and reflected waves) between the two sub-study groups in Visit 3|Differences in repeated measurements of angiometric parameters (endothelial function) between the two sub-study groups in Visit 3|Differences in repeated measurements of angiometric parameters (thickness of the medial carotid sheath) between the two sub-study groups in Visit 3|Differences in repeated measurements of angiometric parameters (arterial hardness) between the two sub-study groups in Visit 5|Differences in repeated measurements of angiometric parameters (central arterial pressures and reflected waves) between the two sub-study groups in Visit 5|Differences in repeated measurements of angiometric parameters (thickness of the medial carotid sheath) between the two sub-study groups in Visit 5|Differences in repeated measurements of angiometric parameters (endothelial function) between the two sub-study groups in Visit 5|Differences in cardiac ultrasound at visit 5 between the two sub-study groups|Changes in the release of cytokines from blood mononuclear cells at visit 3 between the two sub-study groups",Hellenic Institute for the Study of Sepsis,All,"50 Years and older   (Adult, Older Adult)",Phase 4,900,Other,Interventional,2020-05-26,2021-05-25,2021-05-25,Randomized,Parallel Assignment,N/A,N/A,"Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)",Prevention,Greece,2020-05,2020,False,364
NCT04584710,A Phase 2 Study of RTB101 as COVID-19 Post-Exposure Prophylaxis in Older Adults,"Active, not recruiting",No Results Available,Covid19,Drug: RTB101|Drug: Placebo,"To determine the length of time from date of receipt of a positive SARS-CoV2 test result to date of first dose of study drug in asymptomatic adults age ≥ 65 years|To determine the feasibility of using an eDiary to assess study drug compliance in the study drug population|To determine the feasibility of using an eDiary to assess COVID-19 symptoms in the study population|To assess the incidence of treatment-emergent of AEs and SAEs in subjects assigned to RTB101 as compared to placebo|To determine the percentage of subjects treated with RTB101 as compared to placebo who develop symptomatic laboratory-confirmed COVID-19 from first dose through Day 14|To determine the percentage of subjects treated with RTB101 as compared to placebo who die from any cause from first dose of study drug through Day 14 and 21|To determine the percentage of subjects treated with RTB101 as compared to placebo who develop laboratory-confirmed COVID-19 from first dose through Day 14 and are subsequently hospitalized for any reason through Day 21|To determine the percent of subjects treated with RTB101 or placebo who have laboratory-confirmed SARS-CoV-2 infection regardless of symptoms from first dose of study drug through Days 7, 14, 21.",Restorbio Inc.|National Institute on Aging (NIA),All,65 Years and older   (Older Adult),Phase 2,60,Industry|NIH,Interventional,2020-10-13,2021-02-01,2021-02-01,Randomized,Parallel Assignment,N/A,N/A,"Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)",Prevention,United States,2020-10,2020,False,111
NCT04709068,Risk Stratification and Early Alerting Regarding COVID-19 Hospitalization,Recruiting,No Results Available,Covid19,Device: Current Health,Hospitalization|Recovery|ICU Admission|Death,Current Health|Biomedical Advanced Research and Development Authority,All,"21 Years and older   (Adult, Older Adult)",N/A,2050,Industry|U.S. Fed,Observational,2021-02-08,2021-03-19,2021-07-01,N/A,N/A,Cohort,Prospective,N/A,N/A,United States,2021-02,2021,False,143
NCT04314232,Mechanisms for Covid-19 Disease Complications,Recruiting,No Results Available,COVID|Coronavirus Infection,N/A,Number of participants with ICU admission or death|Number of participants with ICU admission|Number of participants with death from all causes|Total duration of ICU stay|Total duration of hospital stay,"University Hospital, Akershus",All,"18 Years and older   (Adult, Older Adult)",N/A,200,Other,Observational,2020-03-18,2021-12-31,2021-12-31,N/A,N/A,Cohort,Prospective,N/A,N/A,Norway,2020-03,2020,False,653
NCT04718480,Fluvoxamine Administration in Moderate SARS-CoV-2 (COVID-19) Infected Patients,Recruiting,No Results Available,Covid19,Drug: Placebo|Drug: Fluvoxamine,Time to clinical recovery after treatment,SigmaDrugs Research Ltd.,All,"18 Years to 70 Years   (Adult, Older Adult)",Phase 2,100,Industry,Interventional,2020-11-27,2021-08-01,2021-12-01,Randomized,Parallel Assignment,N/A,N/A,"Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)",Treatment,Hungary,2020-11,2020,False,369
NCT04328129,Household Transmission Investigation Study for COVID-19 in Tropical Regions,Recruiting,No Results Available,Coronavirus Infections|Severe Acute Respiratory Syndrome|SARS-CoV Infection,Procedure: Human biological samples,"Evaluation of the extent of the virus transmission within households|Characterization of the secondary cases|In New-Caledonia, evaluation of the extent of the virus transmission within contact persons",Institut Pasteur|Institut Pasteur de la Guyane|Centre Hospitalier Andrée Rosemon de Cayenne|Institut Pasteur de la Guadeloupe|Centre Hospitalier de la Guadeloupe|Institut Pasteur de Nouvelle-Calédonie|Centre Hospitalier Territorial de Nouvelle Calédonie,All,"Child, Adult, Older Adult",N/A,1300,Industry|Other,Interventional,2020-03-23,2022-03-23,2022-03-23,Non-Randomized,Parallel Assignment,N/A,N/A,None (Open Label),Screening,French Guiana,2020-03,2020,False,730
NCT04383587,Seroprevalence of SARS CoV 2 Antibodies in Previously Undiagnosed Healthcare Workers,Completed,No Results Available,SARS-CoV 2|COVID-19,Other: Serologic testing,Prevalence of COVID19 Antibody Positivity|Ability to predict immune status/antibody positivity,Mayo Clinic,All,"18 Years and older   (Adult, Older Adult)",N/A,300,Other,Interventional,2020-05-06,2020-07-01,2020-07-31,N/A,Single Group Assignment,N/A,N/A,None (Open Label),Health Services Research,United States,2020-05,2020,False,86
NCT04788459,"Safety and Immunogenicity of COVID-eVax, a Candidate Plasmid DNA Vaccine for COVID-19, in Healthy Adult Volunteers",Recruiting,No Results Available,COVID-19|Protection Against COVID-19 and Infections With SARS-CoV- 2|COVID-19 Immunisation,Biological: COVID-eVax|Device: Cliniporator® and EPSGun,"Incidence of solicited local Adverse events (AEs) at the injection site (for Phase 1)|Incidence of solicited systemic AEs (for Phase 1)|Incidence of unsolicited AEs (for Phase 1)|White Blood Cell (WBC) levels (for Phase 1)|Red Blood Cell (RBC) levels (for Phase 1)|Platelets levels (for Phase 1)|Alanine Transaminase (ALT) levels (for Phase 1)|Aspartate Transaminase (AST) levels (for Phase 1)|Creatine Phosphokinase (CPK) levels (for Phase 1)|Quantitative antibody titers, binding to the specific SARS-CoV-2 antigen (for Phase 2)|SARS-CoV-2 neutralizing antibody titer (for Phase 2)|Change from baseline in antigen-specific cellular immune responses to SARS-CoV-2 (for Phase 2)|Percentage of subjects who seroconverted (for Phase 2)|Quantitative antibody titers, binding to the specific SARS-CoV-2 antigen (for Phase 1)|SARS-CoV-2 neutralizing antibody titer (for Phase 1)|Change from baseline in antigen-specific cellular immune responses to SARS-CoV-2 (for Phase 1)|Percentage of subjects who seroconverted (for Phase 1)|Incidence of solicited local AEs at the injection site (for Phase 2)|Incidence of solicited systemic AEs (for Phase 2)|Incidence of unsolicited AEs (for Phase 2)|White Blood Cell (WBC) levels (for Phase 2)|Red Blood Cell (RBC) levels (for Phase 2)|Platelets levels (for Phase 2)|Alanine Transaminase (ALT) levels (for Phase 2)|Aspartate Transaminase (AST) levels (for Phase 2)|Creatine Phosphokinase (CPK) levels (for Phase 2)",Takis|Rottapharm Biotech,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1|Phase 2,160,Industry,Interventional,2021-02-25,2021-09-01,2022-06-01,Non-Randomized,Sequential Assignment,N/A,N/A,None (Open Label),Prevention,Italy,2021-02,2021,False,461
NCT04499300,Elderly Patients and COVID-19 Infection: a Cohort of Fifty Patients Over Ninety Years of Age,Recruiting,No Results Available,Covid19,Other: Data collection from medical files,Demographic data|Comorbidities|Cumulative Illness Rating Scale-Geriatric (CIRS-G)|Treatments|Signs and symptoms|Fever|Hypoxemia|Tachycardia|Hypotension|Gasometry|Infectious data|Blood count|Ionogram|Liver function|Coagulation|Renal function|Albumin|CRP|Fibrinogen|D-dimers at hospital admission or first recorded|NTproBNP|CK|Troponin|Ferritin|Procalcitonin|Biology - highest rate|Biology - lowest rate|Percentage of pulmonary involvement on chest CT scan|Number of pulmonary lobes affected|Type of lesions|Need for oxygenotherapy|Means of ventilation|Treatment received|Length of ICU Stay|Status at hospital exit|Mortality,Murielle Surquin|Brugmann University Hospital,All,90 Years and older   (Older Adult),N/A,50,Other,Observational,2020-06-09,2020-12-01,2020-12-01,N/A,N/A,Cohort,Retrospective,N/A,N/A,Belgium,2020-06,2020,False,175
NCT04311697,Intravenous Aviptadil for Critical COVID-19 With Respiratory Failure,Completed,No Results Available,Critical COVID-19 With Respiratory Failure|Acute Respiratory Distress Syndrome (ARDS)|Corona Virus Infection|Acute Lung Injury,Drug: Aviptadil by intravenous infusion + standard of care|Drug: Normal Saline Infusion + standard of care,Resolution of Respiratory Failure (Composite Endpoint)|Improvement on NIAID Scale (key secondary measure)|Survival through day 28 and day 60|Time to ICU discharge|Time on ventilation|Time to extubation|Time to discharge alive|Multi-organ failure free days,"NeuroRx, Inc.|Lavin Consulting, LLC",All,"18 Years to 100 Years   (Adult, Older Adult)",Phase 2|Phase 3,196,Industry|Other,Interventional,2020-05-15,2021-02-22,2021-02-22,Randomized,Parallel Assignment,N/A,N/A,"Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)",Treatment,United States,2020-05,2020,False,283
NCT04510441,Artificial Intelligence-assisted Diagnosis and Prognostication in COVID-19 Using Electrocardiograms,Recruiting,No Results Available,Coronavirus,Other: Nil intervention,Accuracy of machine learning to be able to predict outcome of coronavirus (COVID-19) infection|Accuracy of machine learning to be able to predict prognosis of coronavirus (COVID-19) infection|Accuracy of machine learning to be able to predict cardiac involvement of coronavirus (COVID-19) infection|Accuracy of machine learning vs human assessment to diagnose coronavirus (COVID-19) infection,Imperial College London|Imperial College Healthcare NHS Trust|Chelsea and Westminster Hospital NHS Foundation Trust|LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,All,"18 Years and older   (Adult, Older Adult)",N/A,2000,Other,Observational,2020-05-26,2022-05-01,2022-05-01,N/A,N/A,Cohort,Retrospective,N/A,N/A,United Kingdom,2020-05,2020,False,705
NCT04406038,"Study of the Spread of COVID-19 in Saint Petersburg, Russia","Active, not recruiting",No Results Available,COVID19,N/A,"Prevalence of the SARS-COV-2 infection in Saint Petersburg, Russia|Prevalence odds ratios|Immune response dynamics",European University at St. Petersburg,All,"18 Years and older   (Adult, Older Adult)",N/A,1038,Other,Observational,2020-05-27,2021-10-28,2021-10-28,N/A,N/A,Cohort,Prospective,N/A,N/A,Russian Federation,2020-05,2020,False,519
NCT04824651,Covid-19 Vaccine Cohort in Specific Populations,Not yet recruiting,No Results Available,Immune Deficiency,Biological: COVID-19 vaccine,Humoral immunity to Covid-19 vaccination using 2 serological criteria:|Percentage of participants seroconverting for Anti Nucleoprotein AB,"ANRS, Emerging Infectious Diseases|Institut National de la Santé Et de la Recherche Médicale, France",All,"18 Years and older   (Adult, Older Adult)",N/A,10500,Other,Observational,2021-03-25,2024-09-25,2024-09-25,N/A,N/A,Cohort,Prospective,N/A,N/A,Unknown,2021-03,2021,True,1280
NCT04448145,Determinants of SARS-COV2 (COVID-19) Persistence After Convalescence,Recruiting,No Results Available,COVID-19|Corona Virus Infection|SARS-CoV 2,N/A,Duration of SARS-CoV-2 viral persistence in naso/oropharyngeal samples|Duration of SARS-CoV-2 viral persistence in stool or rectal swab samples|Duration of SARS-CoV-2 viral persistence in semen samples|Duration of SARS-CoV-2 viral persistence in breast milk samples|Prevalence of cell immune responses|Duration of COVID-19 Symptoms|Prevalence of post-viral sequelae|Prevalence of SARS-CoV-2 persistence and bacterial/viral community structures,Columbia University,All,"7 Years and older   (Child, Adult, Older Adult)",N/A,325,Other,Observational,2020-03-26,2022-05-01,2022-05-01,N/A,N/A,Cohort,Prospective,N/A,N/A,United States,2020-03,2020,False,766
NCT04403243,COLchicine Versus Ruxolitinib and Secukinumab In Open Prospective Randomized Trial,Recruiting,No Results Available,COVID 19,Drug: Colchicine|Drug: Ruxolitinib 5 MG|Drug: Secukinumab 150 MG/ML Subcutaneous Solution [COSENTYX]|Other: standard therapy,change from baseline in clinical assessment score COVID 19 (CAS COVID 19) Frame: baseline|Combine endpoint: Time to death or mechanical ventilation|C-reactive protein|D-dimer|EuroQol Group. EQ-5D™|exposure area on lung CT,Lomonosov Moscow State University Medical Research and Educational Center,All,"18 Years and older   (Adult, Older Adult)",Phase 2,70,Other,Interventional,2020-05-08,2020-07-22,2020-08-23,Randomized,Parallel Assignment,N/A,N/A,None (Open Label),Treatment,Russian Federation,2020-05,2020,False,107
NCT04360707,Solid Organ Transplant Recipients With SARS-CoV-2 French Registry,Recruiting,No Results Available,SARS-CoV-2,N/A,Clinical Presentation and Incidence of Covid-19 Infection in Different Cohorts of Solid Organ Transplant Patients,"University Hospital, Strasbourg, France",All,"1 Year and older   (Child, Adult, Older Adult)",N/A,300,Other,Observational,2020-04-08,2021-04-08,2021-04-08,N/A,N/A,Case-Only,Prospective,N/A,N/A,France,2020-04,2020,False,365
NCT04828161,"A Dose Finding, Efficacy and Safety Study of Ensovibep (MP0420) in Ambulatory Adult Patients With Symptomatic COVID-19",Not yet recruiting,No Results Available,COVID-19,Drug: ensovibep|Drug: Placebo,"Part A - SARS-CoV-2 viral load|Part B - Occurrence of hospitalizations, emergency room visits or death|Part A - Occurrence of hospitalizations, emergency room visits or death|Part A - Time to sustained clinical recovery|Part A - Serious adverse events (SAEs) and AEs of Special Interest (AESIs)|Part A - Vital Signs: Heart Rate (bpm)|Part A - Vital Signs: Blood Pressure Systolic and Diastolic (mmHg)|Part A - Vital Signs: Body Temperature (°C)|Part A - Vital Signs: Respiratory Rate (breaths per minute)|Part A - Vital Signs: Oxygen Saturation (SpO2)|Part A - Number of Participants with Laboratory Abnormalities|Part A - Free and total ensovibep concentration in serum (mass per volume units)|Part A - Observed maximum concentration (Cmax)|Part A - Time to Cmax (Tmax)|Part A - The area under the concentration-time curve from time zero to the time of the last quantifiable concentration (AUClast)|Part A - The area under the concentration-time curve from time zero extrapolated to infinity time (AUCinf)|Part A - Terminal Elimination Half-Life (T½)|Part A - Terminal Elimination rate constant (λz)|Part A - The apparent volume of distribution during terminal phase associated with λz (Vz)|Part A - Apparent total body clearance of the drug from plasma (CL)|Part B - SARS-CoV-2 viral load|Part B - Time to sustained clinical recovery|Part B - Proportion of patients with treatment-emergent ADAs (TE-ADA)|Part B - SAEs and AESIs|Part B - Vital Signs: Heart Rate (bpm)|Part B - Vital Signs: Blood Pressure Systolic and Diastolic (mmHg)|Part B - Vital Signs: Body Temperature (°C)|Part B - Vital Signs: Respiratory Rate (breaths per minute)|Part B - Vital Signs: Oxygen Saturation (SpO2)|Part B - Number of Participants with Laboratory Abnormalities",Molecular Partners AG|Novartis Pharmaceuticals|Iqvia Pty Ltd|Datamap|SYNLAB Analytics & Services Switzerland AG|Q2 Solutions,All,"18 Years and older   (Adult, Older Adult)",Phase 2|Phase 3,2100,Industry|Other,Interventional,2021-04-15,2022-05-01,2022-06-01,Randomized,Parallel Assignment,N/A,N/A,"Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)",Treatment,Unknown,2021-04,2021,True,412
NCT04621149,An Outpatient Study Investigating Non-prescription Treatments for COVID-19,Recruiting,No Results Available,COVID-19,"Other: chlorine dioxide|Dietary Supplement: zinc acetate|Drug: Famotidine|Other: placebo|Dietary Supplement: lactoferrin, green tea extract",Reduction in Participant Symptoms of COVID-19|Incidence of Treatment-Emergent Adverse Events|Rate of Hospitalization|Change in Oxygen Saturation|Change in Body Temperature,"Profact, Inc.",All,"20 Years to 70 Years   (Adult, Older Adult)",Phase 2,120,Other,Interventional,2020-11-15,2021-03-31,2021-03-31,Randomized,Factorial Assignment,N/A,N/A,"Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)",Treatment,United States,2020-11,2020,False,136
NCT04394208,Silymarin in COVID-19 Pneumonia,Recruiting,No Results Available,COVID-19|Viral Pneumonia Human Coronavirus,Drug: Silymarin|Drug: Placebo,Time to clinical improvement|Clinical outcome|Duration of Mechanical Ventilation|Hospitalization|Virologic Response|Adverse events,Cairo University,All,"18 Years and older   (Adult, Older Adult)",Phase 3,50,Other,Interventional,2020-08-16,2021-01-30,2021-02-28,Randomized,Parallel Assignment,N/A,N/A,"Double (Participant, Care Provider)",Treatment,Egypt,2020-08,2020,False,196
NCT04470609,Safety and Immunogenicity Study of an Inactivated SARS-CoV-2 Vaccine for Preventing Against COVID-19 in People Aged ⩾60 Years,Enrolling by invitation,No Results Available,COVID-19,Biological: Low dosage Inactivated SARS-CoV-2 Vaccine on a 0- and 28-day schedule|Biological: Medium dosage Inactivated SARS-CoV-2 Vaccine on a 0- and 28-day schedule|Biological: High dosage Inactivated SARS-CoV-2 Vaccine on a 0- and 28-day schedule|Biological: Placebo on a 0- and 28-day schedule,Adverse reactions/events rate|Seroconversion rate of Neutralizing antibodies against SARS-CoV-2 Phase IIb|Seroconversion rate of IgG antibodies against SARS-CoV-2 Phase IIb|Serious adverse events|Seroconversion rate of Neutralizing antibodies against SARS-CoV-2 Phase Ib|Seroconversion rate of IgG antibodies against SARS-CoV-2 Phase Ib|Level of Neutralizing antibodies against SARS-CoV-2 Phase Ib|Level of IgG antibodies against SARS-CoV-2 Phase Ib|Level of Neutralizing antibodies against SARS-CoV-2 Phase IIb|Level of IgG antibodies against SARS-CoV-2 Phase IIb,Chinese Academy of Medical Sciences|West China Second University Hospital|Yunnan Center for Disease Control and Prevention,All,"60 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,471,Other,Interventional,2020-07-10,2020-11-01,2021-11-01,Randomized,Parallel Assignment,N/A,N/A,"Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)",Prevention,China,2020-07,2020,False,479
NCT04478019,SHIELD Study: Using Naso-oropharyngeal Antiseptic Decolonization to Reduce COVID-19 Viral Shedding,Recruiting,No Results Available,COVID-19|SARS-CoV 2,Drug: 10% Povidone-iodine nasal decolonization swab plus 0.12% CHG oral rinse,Number of Participants with COVID-19 diagnosis|SARS-Cov-2 Viral Load|Fidelity of the treatment regimen|Feasibility of the treatment regimen,"University of Wisconsin, Madison",All,"18 Years and older   (Adult, Older Adult)",Early Phase 1,250,Other,Interventional,2020-07-07,2022-04-30,2022-04-30,Randomized,Crossover Assignment,N/A,N/A,None (Open Label),Prevention,United States,2020-07,2020,False,662
NCT04313322,Treatment of COVID-19 Patients Using Wharton's Jelly-Mesenchymal Stem Cells,Recruiting,No Results Available,Use of Stem Cells for COVID-19 Treatment,Biological: WJ-MSCs,Clinical outcome|CT Scan|RT-PCR results,Stem Cells Arabia,All,"18 Years and older   (Adult, Older Adult)",Phase 1,5,Other,Interventional,2020-03-16,2020-06-30,2020-09-30,N/A,Single Group Assignment,N/A,N/A,None (Open Label),Treatment,Jordan,2020-03,2020,False,198
NCT04411680,Study of Sargramostim in Patients With COVID-19,"Active, not recruiting",No Results Available,COVID-19|Sars-CoV2,Drug: Sargramostim|Drug: Standard of care,Change in oxygenation parameter of P(A-a)O2 gradient by Day 6|Percent of patients who have been intubated by Day 14|Change in ordinal scale|All cause 28-day mortality|Number of patients with treatment-emergent serious adverse events or clinically significant adverse drug reactions (ADRs),"Partner Therapeutics, Inc.|United States Department of Defense",All,"18 Years and older   (Adult, Older Adult)",Phase 2,122,Industry|U.S. Fed,Interventional,2020-08-18,2021-03-01,2021-05-01,Randomized,Parallel Assignment,N/A,N/A,None (Open Label),Treatment,United States,2020-08,2020,False,256
NCT04348435,"A Randomized, Double-Blind, Placebo-Controlled Clinical Trial to Determine the Safety and Efficacy of Hope Biosciences Allogeneic Mesenchymal Stem Cell Therapy (HB-adMSCs) to Provide Protection Against COVID-19","Active, not recruiting",No Results Available,COVID-19,Drug: HB-adMSCs|Drug: Placebos,Incidence of hospitalization for COVID-19|Incidence of symptoms associated with COVID-19|Absence of upper/lower respiratory infection|Leukocyte differential|C Reactive protein|TNF alpha|IL-6|IL-10|Glucose|Calcium|Albumin|Total protein|Sodium|Total carbon dioxide|Potassium|Chloride|BUN|Creatinine|Alkaline phosphatase|Alanine aminotransferase|Total bilirubin|white blood cells|red blood cells|hemoglobin|hematocrit|mean corpuscular volume|mean corpuscular hemoglobin|mean corpuscular hemoglobin concentration|red cell distribution width|neutrophils|Lymphs|Monocytes|Eosinophils|Basophils|Absolute neutrophils|Absolute lymphs|Absolute monocytes|Absolute eosinophils|Absolute basophils|Immature granulocytes|Platelets|Prothrombin time|INR|SF-36|PHQ-9,Hope Biosciences|Hope Biosciences Stem Cell Research Foundation,All,"Child, Adult, Older Adult",Phase 2,100,Industry|Other,Interventional,2020-05-14,2021-05-30,2021-07-30,Randomized,Parallel Assignment,N/A,N/A,"Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)",Prevention,United States,2020-05,2020,False,442
