study_id,nct_id,title,status,phase,study_type,start_date,completion_date,primary_completion_date,enrollment,gender
5401,NCT04020484,Making Mindfulness Matter© in Children With Epilepsy,Recruiting,,Interventional,2019-12-02,2022-12-20,2022-09-01,100,All
5402,NCT04155463,Measurement of Agricultural and Dietary Glyphosate Exposure Among Pregnant Women,Recruiting,,Interventional,2021-02-23,2022-08-01,2021-08-01,40,Female
5403,NCT04524286,Role of Midwifery Continuity of Care in Reducing Health Inequalities,Recruiting,,Observational,2020-11-06,2022-03-18,2021-09-18,60,Female
5404,NCT04498819,Wearable Technology and a Virtual Lifestyle Program for Type 2 Diabetics,"Active, not recruiting",,Interventional,2020-11-09,2021-05-01,2021-05-01,20,All
5405,NCT04767568,Exploratory Study of the Relevance of a Blood Test in the Management of Patients in the Context of Colorectal Cancer Screening,Not yet recruiting,,Interventional,2021-03-01,2027-09-01,2023-03-01,400,All
5406,NCT04662775,Formative Evaluation of The HERizon Project,Completed,,Interventional,2020-04-15,2020-07-08,2020-07-08,42,Female
5407,NCT04772521,Smoking Cessation Programme in Workplaces in Hong Kong (Phase Ⅴ),Not yet recruiting,,Interventional,2021-04-01,2023-12-30,2023-06-30,735,All
5408,NCT04379622,"Diet, Body Composition, Lifestyle and Cardiovascular Health of Healthy and Active Adults From Slovenia",Completed,,Observational,2020-05-22,2020-08-05,2020-08-05,93,All
5409,NCT04168814,Nutritional Status in Locally Advanced or Metastatic Solid Cancer Patients in Spain: the NutriOncoSearch (NOS) Study,Completed,,Observational,2020-06-10,2020-12-15,2020-10-09,586,All
5410,NCT04323163,"Yoga, Aerobic and Stretching Exercise Effects on Neurocognition",Recruiting,,Interventional,2021-01-01,2025-03-31,2024-12-31,168,All
5411,NCT04512378,Group CBT for Intolerance of Uncertainty,Recruiting,,Interventional,2021-02-01,2021-08-01,2021-08-01,20,All
5412,NCT04157296,Neurally Targeted Cognitive Training to Augment CBT Outcomes in Pediatric Anxiety,Recruiting,,Interventional,2020-02-04,2021-07-01,2021-07-01,54,All
5413,NCT04562350,"XatJove Anoia, as a Tool to Bring Health Services Closer to Teenagers",Recruiting,,Interventional,2020-10-01,2021-10-11,2021-06-20,500,All
5414,NCT04462250,Mobile Health (mHealth) App for Safe Opioid Use,Not yet recruiting,,Interventional,2021-03-01,2021-06-30,2021-06-30,15,All
5415,NCT04540679,Self-Management Across the Care Continuum,Not yet recruiting,,Interventional,2020-09-01,2021-04-29,2021-04-29,60,All
5416,NCT04375657,"Thymus Regeneration, Immunorestoration, and Insulin Mitigation Extension Trial",Recruiting,Phase 2,Interventional,2020-10-01,2022-10-01,2021-10-01,85,All
5417,NCT04836026,Registry for HF20 for Pediatric CRRT Under Emergency Use Authorization,Enrolling by invitation,,Observational,2021-01-27,2022-12-31,2022-11-30,20,All
5418,NCT04545424,Trial of Therapeutic Hypothermia in Patients With ARDS,Not yet recruiting,Phase 2,Interventional,2021-01-31,2024-05-31,2023-12-01,340,All
5419,NCT03786315,Exploring 'VOLITION' in Context - a Study to Inform the Implementation of a New Intervention,Recruiting,,Observational,2021-01-04,2022-01-01,2022-01-01,150,All
5420,NCT04530188,Effects of Sevoflurane on Extravascular Lung Water and Pulmonary Vascular Permeability in Patients With ARDS,Not yet recruiting,Phase 3,Interventional,2020-11-01,2022-11-01,2022-05-01,68,All
5421,NCT04234815,Evaluating Impacts of CSS for Veterans and Their Families in Ukraine,Recruiting,,Interventional,2020-02-28,2021-06-01,2021-05-01,1387,All
5422,NCT04742270,Home-Care Bronchiectasis,Recruiting,,Interventional,2021-03-04,2021-10-01,2021-10-01,22,All
5423,NCT04663685,MoveStrong at Home,Recruiting,,Interventional,2020-10-05,2021-04-01,2021-04-01,25,All
5424,NCT04797481,Pilot Testing of an Online Rehabilitation Intervention for People With Heart Failure (PORIAS-HF).,Not yet recruiting,,Interventional,2021-03-27,2022-03-30,2021-12-31,40,All
5425,NCT04744272,Exploring the Efficacy of myAsthma in Secondary Care,Not yet recruiting,,Interventional,2021-03-01,2022-02-01,2021-12-01,60,All
5426,NCT03881228,Patient Centered Intervention to Prevent Tuberculosis Among Children Under Five Years Old,Recruiting,,Interventional,2019-12-01,2023-12-15,2022-12-01,300,All
5427,NCT04639557,Building Regulation in Dual Generations - Telehealth Model,Enrolling by invitation,,Interventional,2020-09-01,2021-05-01,2021-05-01,40,Female
5428,NCT04763889,Cognitive Behaviour Therapy for Adults With Allergy.,Recruiting,,Interventional,2021-02-01,2021-12-30,2021-11-30,40,All
5429,NCT04778930,"Physical Therapy for Improving Functionality, Gait and Participation in Cerebral Palsy",Not yet recruiting,,Interventional,2021-09-01,2022-12-31,2022-07-31,66,All
5430,NCT04659590,An Exploratory Study Investigating the Potential of a Rectal Mucus Sample for Development of Biomarker Assays in Subjects With Gastrointestinal Diseases,Recruiting,,Observational,2020-11-06,2021-08-01,2021-07-01,600,All
5431,NCT04558073,Evaluation of Two Eating Disorders Prevention Interventions in At-Risk Female Students With Body Dissatisfaction,Recruiting,,Interventional,2021-01-01,2022-02-28,2021-12-31,90,Female
5432,NCT04840030,Preventing Cognitive Decline: The Go-On Multi-domain Intervention Study,Not yet recruiting,,Interventional,2021-06-01,2025-04-30,2025-04-30,1094,All
5433,NCT04833088,Exploratory Study About the Implementation of Technology in the Rehabilitation,Not yet recruiting,,Interventional,2021-04-01,2022-04-01,2022-04-01,100,All
5434,NCT04725253,Nicotinamide to Prevent Delirium,Not yet recruiting,,Interventional,2021-01-21,2022-04-30,2022-04-01,146,All
5435,NCT04076722,"Neurotrophic Indicators of Cognition, Executive Skills, Plasticity, and Adverse Childhood Experiences Study",Completed,,Interventional,2019-12-04,2020-12-11,2020-08-04,55,Female
5436,NCT04595695,The Effect of Clear Masks in Improving Patient Relationships,Completed,,Interventional,2020-09-03,2020-12-14,2020-11-12,200,All
5437,NCT04737252,"Development and Initial Testing of a Couple-Based Intervention to Optimize Suicide and Self-Injury Treatment: COMPASS (Connecting, Overcoming, and Moving Past Suicide and Self-Injury)",Recruiting,,Interventional,2021-01-18,2022-09-30,2022-09-30,40,All
5438,NCT04763746,The Measurement of VItal SIgns by Lifelight® Software in comparisON to the Standard of Care - Multi-site Development,Not yet recruiting,,Observational,2021-04-01,2022-03-01,2022-03-01,9500,All
5439,NCT04274621,The Application Value of Non-contact Infrared Thermometers in Temperature Screening in the General Population,Completed,,Observational,2020-02-14,2020-02-20,2020-02-17,572,All
5440,NCT04799405,Home-based tDCS in Major Depressive Disorder,Recruiting,,Interventional,2020-09-24,2023-09-24,2022-09-24,50,All
5441,NCT04833010,Effects of Face Masks During Exercise,Recruiting,,Interventional,2021-01-20,2021-09-01,2021-09-01,100,All
5442,NCT04829188,Comparative Effectiveness of Readmission Reduction Interventions for Individuals With Sepsis or Pneumonia,Recruiting,,Interventional,2021-03-30,2023-07-01,2023-04-01,1668,All
5443,NCT04790864,An Online Large-group One-session Treatment for Public Speaking Anxiety,Recruiting,,Interventional,2021-01-01,2021-10-01,2021-05-01,100,All
5444,NCT04477928,General Population Level Estimation for Type 1 Diabetes Risk in Children 0-5 Years Old During Routine Care Delivery,Recruiting,,Observational,2020-07-17,2030-12-01,2028-12-01,3000,All
5445,NCT04478851,EXCEL: Exercise for Cancer to Enhance Living Well,Recruiting,,Interventional,2020-09-02,2027-12-31,2027-12-31,1500,All
5446,NCT04713748,Tasso-SST OnDemand Comparator Pilot Study,Enrolling by invitation,,Interventional,2021-01-15,2021-12-01,2021-12-01,100,All
5447,NCT04787380,Lancashire Objective Volume Evaluation of Leg Oedema in Heart Failure,Recruiting,,Interventional,2021-03-05,2022-12-31,2022-06-30,30,All
5448,NCT04495387,Improving Food Pleasure and Intake of Oncology Patients Receiving Chemotherapy,Not yet recruiting,,Observational,2021-01-01,2022-12-01,2022-01-01,100,All
5449,NCT04592224,Cancer Information Your Way: Get What You Need to Make Your Decisions,Recruiting,,Observational,2020-11-12,2021-08-01,2021-08-01,40,All
5450,NCT04413812,Fostering Exercise After Bariatric Surgery,"Active, not recruiting",,Interventional,2020-07-01,2021-01-17,2021-01-17,40,All
5451,NCT04831190,A Tailored Exercise Oncology Program for Neuro-Oncology Patients,Not yet recruiting,,Interventional,2021-04-15,2024-04-15,2024-04-15,100,All
5452,NCT04647760,Packaging and Disseminating the JOIN for ME Program in Low-Income Settings,Recruiting,,Interventional,2021-01-01,2023-02-01,2023-02-01,128,All
5453,NCT04779983,IL-6 as a Biomarker for Personalized Treatment of PR,Not yet recruiting,,Observational,2021-03-18,2021-08-01,2021-07-30,200,All
5454,NCT04564586,Developing and Testing a Technology-Based Translation of the DPP to Address Prediabetes in a Primary Care Setting,"Active, not recruiting",,Interventional,2020-01-01,2021-10-01,2021-05-01,32,All
5455,NCT04068922,Adaptability and Resilience in Aging Adults-2,Recruiting,,Interventional,2020-01-21,2021-05-01,2021-05-01,60,All
5456,NCT04398472,Evaluation of the Nextdoor KIND Challenge,Not yet recruiting,,Interventional,2020-07-07,2020-12-01,2020-12-01,9000,All
5457,NCT04405284,The Use of Disinfectants Among Women in Egypt and the Toxicity by Bleach During the Coronavirus Lock-down.,Completed,,Observational,2020-06-04,2020-07-01,2020-06-30,425,Female
5458,NCT04055948,Building Family Caregiver Skills Using a Simulation-Based Intervention for Care of Cancer Patients,Recruiting,,Interventional,2019-12-01,2023-04-30,2022-10-31,180,All
5459,NCT04606407,Inhaled NO for the Treatment of Viral Pneumonia in Adults,Recruiting,,Interventional,2020-11-25,2021-09-07,2021-09-07,90,All
5460,NCT04792450,Thales Thermography Triage (3T) - Pilot Project,"Active, not recruiting",,Observational,2020-11-01,2021-05-01,2020-12-15,200,All
5461,NCT04247620,DiaBetter Together for Young Adults With Type 1 Diabetes,Enrolling by invitation,,Interventional,2020-12-15,2024-06-01,2024-06-01,186,All
5462,NCT04642807,Management of Type 1 Supracondylar Humeral Fractures,Not yet recruiting,,Interventional,2021-01-01,2023-01-01,2022-06-01,52,All
5463,NCT04670315,Validation of the Telematic Version of the Fugl-Meyer Scale,Not yet recruiting,,Observational,2021-03-01,2021-09-30,2021-09-30,50,All
5464,NCT04634851,Video Home Visits for Dietary Counselling,Not yet recruiting,,Interventional,2021-04-01,2024-12-01,2023-03-31,100,All
5465,NCT04480333,"Safety, Tolerability and Pharmacokinetics of Inhaled Nanoparticle Formulation of Remdesivir (GS-5734) and NA-831",Recruiting,Phase 1,Interventional,2020-09-15,2021-03-31,2020-12-31,45,All
5466,NCT04778995,Online Training Program Model for Effective Management of Nursing Services in Times of Crisis Such as Pandemic,Completed,,Interventional,2020-07-01,2020-12-30,2020-10-01,60,All
5467,NCT04795999,Opportunities Beyond the Narrative: An Intervention for Justice-Involved Youth,Recruiting,,Interventional,2021-02-01,2023-07-15,2022-12-31,1500,All
5468,NCT04644640,Telerehabilitation Following Meniscectomy,Not yet recruiting,,Interventional,2020-12-01,2022-12-01,2021-12-01,60,All
5469,NCT04784338,Virtual Weight Management Shared Medical Visit,Not yet recruiting,,Interventional,2021-04-01,2022-10-01,2022-04-01,25,All
5470,NCT04485377,Safety Net Support Use in California,Recruiting,,Observational,2020-08-01,2022-06-30,2021-03-31,530,All
5471,NCT04527835,"Presentation, Clinical Course and Patterns of Myocardial Damage Due to Viral Myocarditis",Recruiting,,Observational,2020-10-01,2021-03-01,2021-03-01,18,All
5472,NCT04570917,Online Education Intervention to Reduce Ageism Among Undergraduate Students,Not yet recruiting,,Interventional,2020-09-28,2020-10-31,2020-10-31,121,All
5473,NCT04444986,Bioequivalence Study of Favir 200 mg Film Tablet Kocak Under Fasting Conditions,Completed,Phase 1,Interventional,2020-06-05,2020-06-13,2020-06-11,30,Male
5474,NCT04787393,Lancashire Objective Volume Evaluation of Leg Oedema in Heart Failure Second Pilot,Not yet recruiting,,Interventional,2021-05-03,2022-12-31,2022-06-30,30,All
5475,NCT04769518,Advanced Recovery Room Care II - Improved Recovery After Surgery,Not yet recruiting,,Interventional,2021-03-01,2022-12-01,2022-07-01,1314,All
5476,NCT04509206,Virtual Teaching Kitchen,Enrolling by invitation,,Interventional,2020-09-28,2021-09-01,2021-09-01,25,All
5477,NCT04644367,Effects of a Biomechanical-based Tai Chi Program on Gait and Posture in People With Parkinson's Disease,Not yet recruiting,,Interventional,2021-01-01,2021-12-01,2021-07-01,40,All
5478,NCT04714892,Mechanisms Underlying Individual Variations of Taste and Smell in Obesity,Not yet recruiting,,Observational,2021-04-19,2022-12-30,2022-12-30,248,All
5479,NCT04829851,The PROTEIN Project,Not yet recruiting,,Observational,2021-06-01,2022-12-01,2022-05-01,310,All
5480,NCT04816799,Efficacy of START (Startle Rehabilitation Therapy) in the Treatment Stroke-induced Aphasia/Apraxia,Recruiting,Early Phase 1,Interventional,2020-07-22,2021-12-01,2021-07-01,54,All
5481,NCT04532853,Optimizing Maintenance Therapy in COPD Patients,Recruiting,,Observational,2020-10-21,2021-08-25,2021-05-31,1176,All
5482,NCT04581681,Group CBT For Perinatal Anxiety,Recruiting,,Interventional,2020-12-02,2021-09-01,2021-09-01,50,Female
5483,NCT04662593,Koa Family Study--A Community-Based Intervention to Improve Health and Well-Being,Recruiting,,Interventional,2021-01-04,2021-09-01,2021-08-01,120,Female
5484,NCT04673825,Monitoring Spondyloarthritis With SpA-Net,Recruiting,,Interventional,2020-12-02,2022-07-31,2022-07-01,200,All
5485,NCT04566510,LLIN Evaluation in Uganda Project,Recruiting,,Interventional,2020-10-17,2023-04-15,2023-04-15,200000,All
5486,NCT04752787,Effect of Breastfeeding Training,Not yet recruiting,,Interventional,2021-03-01,2022-03-01,2022-03-01,102,Female
5487,NCT04702958,TRANSFORM-HF Ancillary Mechanistic Study,Enrolling by invitation,,Observational,2020-12-10,2022-07-01,2022-07-01,750,All
5488,NCT04696107,Effectiveness of Coping Strategies on the Control of Chronic Non-Cancer Pain and Quality of Life (CNCP_CopQol),Not yet recruiting,,Interventional,2021-04-01,2022-12-31,2022-02-28,144,All
5489,NCT04660084,"Impact of Molecular Testing on Improved Diagnosis, Treatment and Management of CAP",Recruiting,,Interventional,2020-09-25,2022-12-31,2022-12-31,1060,All
5490,NCT04838288,Cognitive Outcomes in Stable Renal Transplant Patients Switched fromTacrolimus to Envarsus XR™,Not yet recruiting,Phase 4,Interventional,2021-05-01,2022-12-31,2022-12-31,60,All
5491,NCT04408651,Low Intensity Internet Therapy for Chronic Illness (@LIIT.CI),"Active, not recruiting",,Interventional,2020-05-01,2021-08-31,2020-12-31,54,All
5492,NCT04590066,Testing Multiple Behavioral Science Strategies to Increase Flu-Shot Rates at a Large Retail Pharmacy,Completed,,Interventional,2020-09-25,2020-12-31,2020-12-31,734383,All
5493,NCT04603092,Digital Health Literacy Intervention for Disadvantaged Women During Corona,Not yet recruiting,,Interventional,2021-04-01,2021-10-01,2021-09-01,1000,Female
5494,NCT04571853,New Educational Tool for FM,Recruiting,,Interventional,2020-09-21,2021-10-10,2021-10-10,300,All
5495,NCT04424212,ICBT for Mental Health Problems Related to the Coronavirus Pandemic,"Active, not recruiting",,Interventional,2020-06-10,2021-08-01,2021-06-01,120,All
5496,NCT04193020,"Acute and Chronic Inflammatory Disease, Lifestyle and Treatment Response",Recruiting,,Observational,2020-01-01,2026-01-01,2025-01-01,300,All
5497,NCT04646421,Responsible Gambling Telephone Intervention to High-risk Gamblers by a State-owned Gambling Operator in Sweden.,Recruiting,,Observational,2021-03-15,2021-11-30,2021-10-31,3626,All
5498,NCT04651959,"Bioequivalence Study of Favipiravir 200 mg Film Tablet (Pharma Plant, Turkey) Under Fasting Conditions","Active, not recruiting",Phase 1,Interventional,2020-11-13,2020-12-20,2020-11-18,30,Male
5499,NCT04406194,"Bioequivalence Study of Favipiravir 200 mg Film Tablet (ATABAY, Turkey) Under Fasting Conditions",Completed,Phase 1,Interventional,2020-05-14,2020-06-19,2020-05-22,30,Male
5500,NCT04400682,"Bioequivalence Study of Favipiravir 200 mg Film Tablet (Novelfarma, Turkey) Under Fasting Conditions",Completed,Phase 1,Interventional,2020-05-28,2020-06-18,2020-06-05,30,Male
5501,NCT04828070,The Heart Outcomes in Pregnancy Expectations (H.O.P.E) Registry,Recruiting,,Observational,2020-12-01,2026-12-30,2022-12-30,75,Female
5502,NCT04542642,"A Remote, Decentralized Opioid Use Disorder Study to Evaluate Patient Engagement With a Game-Based Digital Therapeutic",Recruiting,,Interventional,2021-02-01,2021-07-01,2021-07-01,130,All
5503,NCT04144231,Cognitive Behavioral Therapy for Insomnia (CBT-I) in Schizophrenia(SLEEPINS),Recruiting,,Interventional,2019-12-19,2024-09-06,2024-09-06,120,All
5504,NCT04624087,Go/No-Go Intervention for Weight Loss,Recruiting,,Interventional,2020-10-19,2021-10-01,2021-10-01,100,All
5505,NCT04209998,New Oxymetry Indices in Critical Limb Ischemia,Recruiting,,Observational,2020-01-16,2022-12-01,2022-12-01,300,All
5506,NCT04448028,"Stop of Proton-pump Inhibitor Treatment in Patients With Liver Cirrhosis - a Double-blind, Placebo-controlled Trial",Not yet recruiting,Phase 4,Interventional,2021-01-01,2024-12-01,2024-12-01,476,All
5507,NCT04475718,Fourth Trimester - A Web-based Tool for Postpartum Care to Address the Needs of Underserved Women,Recruiting,,Interventional,2020-07-06,2021-09-22,2021-09-22,85,Female
5508,NCT04390542,Intervention for Caregivers of Patients Undergoing HSCT or CAR T-cell Therapy,Not yet recruiting,,Interventional,2021-06-01,2021-09-01,2021-08-01,40,All
5509,NCT04240886,Open-label Study of APX001 for Treatment of Patients With Invasive Mold Infections Caused by Aspergillus or Rare Molds,Recruiting,Phase 2,Interventional,2020-01-04,2021-10-01,2021-07-01,50,All
5510,NCT04535453,A Study to Evaluate a Range of Dose Levels and Vaccination Intervals of Ad26.COV2.S in Healthy Adults and Adolescents,Recruiting,Phase 2,Interventional,2020-08-28,2023-08-15,2021-12-15,1210,All
5511,NCT04680845,INSPIRES Hearing Health Trial - INnovative Psychological Intervention to REduce Stigma in Hearing Health Trial,Recruiting,,Interventional,2021-01-18,2021-07-31,2021-07-18,3000,All
5512,NCT04326309,Audio Data Collection for Identification and Classification of Coughing,Recruiting,,Observational,2020-03-25,2022-09-25,2022-09-25,1000,All
