study_id,country
1144,United States
1145,Brazil
1146,France
1147,Egypt
1148,Sweden
1149,Islamic Republic of
1150,Norway
1151,United States
1152,United States
1153,Unknown
1154,France
1155,France
1156,Islamic Republic of
1157,France
1158,Jordan
1159,Unknown
1160,France
1161,United States
1162,United Kingdom
1163,Egypt
1164,Norway
1165,United States
1166,Pakistan
1167,Spain
1168,Italy
1169,Tunisia
1170,Pakistan
1171,Hungary
1172,China
1173,United States
1174,Sweden
1175,Turkey
1176,United States
1177,Spain
1178,China
1179,Canada
1180,France
1181,China
1182,France
1183,Turkey
1184,France
1185,United Kingdom
1186,Italy
1187,France
1188,Egypt
1189,France
1190,Canada
1191,Austria
1192,United States
1193,France
1194,United States
1195,United States
1196,United States
1197,Unknown
1198,India
1199,China
1200,France
1201,China
1202,Unknown
1203,France
1204,Italy
1205,India
1206,United Kingdom
1207,Unknown
1208,Unknown
1209,France
1210,Portugal
1211,United States
1212,Spain
1213,France
1214,Bahrain
1215,United States
1216,France
1217,United States
1218,Germany
1219,Unknown
1220,Russian Federation
1221,Canada
1222,Germany
1223,South Africa
1224,United States
1225,South Africa
1226,Argentina
1227,Austria
1228,Norway
1229,United States
1230,Italy
1231,Italy
1232,Unknown
1233,Canada
1234,Denmark
1235,Poland
1236,Colombia
1237,Spain
1238,United States
1239,Italy
1240,China
1241,Turkey
1242,Turkey
1243,United Kingdom
1244,France
1245,France
1246,Netherlands
1247,France
1248,Egypt
1249,Ukraine
1250,United States
1251,China
1252,Germany
1253,United States
1254,France
1255,Russian Federation
1256,United States
1257,France
1258,South Africa
1259,France
1260,Mexico
1261,Denmark
1262,Spain
1263,United States
1264,United States
1265,Mexico
1266,United States
1267,United States
1268,United States
1269,Sweden
1270,Indonesia
1271,France
1272,Bangladesh
1273,United States
1274,Pakistan
1275,Netherlands
1276,Pakistan
1277,France
1278,United States
1279,North Macedonia
1280,Mexico
1281,France
1282,United States
1283,Switzerland
1284,Unknown
1285,United States
1286,United States
1287,France
1288,Italy
1289,Egypt
1290,Unknown
1291,Poland
1292,United States
1293,France
1294,Mexico
1295,Denmark
1296,Mexico
1297,Italy
1298,Germany
1299,Taiwan
1300,Unknown
1301,Unknown
1302,United States
1303,United States
1304,France
1305,United States
1306,France
1307,Italy
1308,Pakistan
1309,France
1310,Unknown
1311,France
1312,Brazil
1313,Bolivia
1314,France
1315,France
1316,United States
1317,Japan
1318,Jordan
1319,United States
1320,United States
1321,France
1322,Sweden
1323,Spain
1324,Russian Federation
1325,France
1326,Indonesia
1327,Belgium
1328,France
1329,Spain
1330,United States
1331,Spain
1332,Brazil
1333,Bangladesh
1334,Turkey
1335,United States
1336,Denmark
1337,Denmark
1338,Kuwait
1339,United States
1340,United Kingdom
1341,Unknown
1342,United States
1343,United Kingdom
1344,Mexico
1345,Unknown
1346,Egypt
1347,Unknown
1348,Canada
1349,Unknown
1350,Norway
1351,Finland
1352,Italy
1353,Poland
1354,United States
1355,United States
1356,France
1357,Italy
1358,United States
1359,United States
1360,United States
1361,Unknown
1362,Japan
1363,France
1364,United States
1365,Slovenia
1366,France
1367,Canada
1368,India
1369,Colombia
1370,United States
1371,Islamic Republic of
1372,United States
1373,United States
1374,United States
1375,United States
1376,Mexico
1377,Brazil
1378,France
1379,Kazakhstan
1380,United States
1381,United States
1382,United States
1383,Switzerland
1384,Egypt
1385,France
1386,France
1387,Unknown
1388,Turkey
1389,United States
1390,Colombia
1391,United States
1392,France
1393,United States
1394,United States
1395,Belgium
1396,Egypt
1397,France
1398,Philippines
1399,Italy
1400,Russian Federation
1401,United States
1402,United States
1403,France
1404,Israel
1405,Turkey
1406,United States
1407,Netherlands
1408,India
1409,Austria
1410,Egypt
1411,Germany
1412,Germany
1413,United States
1414,United States
1415,United States
1416,Egypt
1417,United States
1418,Canada
1419,United States
1420,United States
1421,China
1422,United States
1423,Israel
1424,Belgium
1425,United States
1426,Qatar
1427,Spain
1428,United States
1429,United States
1430,Canada
1431,United States
1432,United States
1433,China
1434,Slovakia
1435,France
1436,France
1437,United States
1438,Greece
1439,Canada
1440,Italy
1441,Greece
1442,United States
1443,United States
1444,Norway
1445,Hungary
1446,French Guiana
1447,United States
1448,Italy
1449,Belgium
1450,United States
1451,United Kingdom
1452,Russian Federation
1453,Unknown
1454,United States
1455,Russian Federation
1456,France
1457,Unknown
1458,United States
1459,Egypt
1460,China
1461,United States
1462,Jordan
1463,United States
1464,United States
1465,United States
1466,United Kingdom
1467,Unknown
1468,Greece
1469,Unknown
1470,France
1471,Italy
1472,United States
1473,Switzerland
1474,Colombia
1475,United States
1476,Norway
1477,China
1478,Germany
1479,Unknown
1480,Argentina
1481,Spain
1482,Unknown
1483,Canada
1484,United States
1485,Canada
1486,United Kingdom
1487,United Kingdom
1488,Unknown
1489,Mexico
1490,Spain
1491,France
1492,France
1493,Pakistan
1494,United States
1495,Italy
1496,Azerbaijan
1497,Bangladesh
1498,Turkey
1499,Germany
1500,Egypt
1501,United States
1502,Turkey
1503,Turkey
1504,France
1505,Greece
1506,United Kingdom
1507,France
1508,France
1509,Canada
1510,United Kingdom
1511,United Kingdom
1512,Pakistan
1513,Turkey
1514,Argentina
1515,Netherlands
1516,South Africa
1517,United Kingdom
1518,France
1519,Islamic Republic of
1520,Ethiopia
1521,Pakistan
1522,Unknown
1523,France
1524,Sweden
1525,Turkey
1526,United States
1527,Turkey
1528,United Kingdom
1529,United States
1530,Argentina
1531,United States
1532,Germany
1533,Hong Kong
1534,China
1535,Unknown
1536,United States
1537,Italy
1538,France
1539,Spain
1540,Pakistan
1541,Italy
1542,Egypt
1543,United States
1544,Egypt
1545,France
1546,India
1547,France
1548,Mexico
1549,Mexico
1550,Italy
1551,Unknown
1552,Austria
1553,United Kingdom
1554,Saudi Arabia
1555,United States
1556,Egypt
1557,Kyrgyzstan
1558,United States
1559,Egypt
1560,United States
1561,Austria
1562,Egypt
1563,France
1564,United States
1565,United States
1566,United States
1567,France
1568,France
1569,United States
1570,Colombia
1571,France
1572,Argentina
1573,Tunisia
1574,Italy
1575,Unknown
1576,Unknown
1577,Spain
1578,United States
1579,United States
1580,Bangladesh
1581,Saudi Arabia
1582,United States
1583,Unknown
1584,France
1585,Turkey
1586,China
1587,Germany
1588,New Zealand
1589,France
1590,China
1591,Egypt
1592,Pakistan
1593,Russian Federation
1594,Unknown
1595,United States
1596,United States
1597,France
1598,United States
1599,United States
1600,Russian Federation
1601,Egypt
1602,Egypt
1603,United States
1604,United States
1605,China
1606,United States
1607,United States
1608,United States
1609,Brazil
1610,Hungary
1611,Spain
1612,France
1613,Turkey
1614,Spain
1615,Spain
1616,Malaysia
1617,United States
1618,Brazil
1619,France
1620,Unknown
1621,Italy
1622,Unknown
1623,United States
1624,Egypt
1625,Dominican Republic
1626,Mexico
1627,Unknown
1628,United States
1629,Unknown
1630,Russian Federation
1631,United States
1632,Norway
1633,Turkey
1634,Unknown
1635,Egypt
1636,France
1637,Germany
1638,Spain
1639,France
1640,France
1641,United States
1642,France
1643,Vietnam
1644,Denmark
1645,India
1646,United States
1647,United States
1648,Turkey
1649,Brazil
1650,United States
1651,Germany
1652,United States
1653,Argentina
1654,Unknown
1655,Turkey
1656,Mexico
1657,Unknown
1658,Saudi Arabia
1659,Turkey
1660,Islamic Republic of
1661,Unknown
1662,Netherlands
1663,Turkey
1664,United States
1665,China
1666,United States
1667,France
1668,Italy
1669,China
1670,Denmark
1671,Germany
1672,United States
1673,Pakistan
1674,Australia
1675,United States
1676,United States
1677,China
1678,United States
1679,Spain
1680,Mexico
1681,United States
1682,Netherlands
1683,United States
1684,Unknown
1685,Germany
1686,France
1687,United States
1688,United States
1689,Austria
1690,United States
1691,Netherlands
1692,Kazakhstan
1693,Egypt
1694,Canada
1695,United States
1696,Pakistan
1697,India
1698,France
1699,United States
1700,Egypt
1701,China
1702,United Kingdom
1703,Netherlands
1704,Saudi Arabia
1705,United States
1706,Turkey
1707,United States
1708,Germany
1709,France
1710,Switzerland
1711,Saudi Arabia
1712,United States
1713,Unknown
1714,Egypt
1715,United Kingdom
1716,France
1717,Unknown
1718,Unknown
1719,United Kingdom
1720,Denmark
1721,United Kingdom
1722,Egypt
1723,United States
1724,Saudi Arabia
1725,Brazil
1726,Italy
1727,Unknown
1728,United States
1729,Spain
1730,United Kingdom
1731,Egypt
1732,United States
1733,Italy
1734,Spain
1735,Unknown
1736,Turkey
1737,Bangladesh
1738,France
1739,Unknown
1740,United States
1741,Unknown
1742,Russian Federation
1743,France
1744,Italy
1745,Unknown
1746,France
1747,Spain
1748,United States
1749,Nepal
1750,Bangladesh
1751,France
1752,United States
1753,United States
1754,United States
1755,United States
1756,Egypt
1757,China
1758,Russian Federation
1759,United States
1760,United States
1761,Italy
1762,United Kingdom
1763,United States
1764,Belgium
1765,United Kingdom
1766,Mexico
1767,France
1768,Brazil
1769,France
1770,Switzerland
1771,Italy
1772,Japan
1773,United States
1774,France
1775,Unknown
1776,China
1777,Switzerland
1778,Chile
1779,United States
1780,Unknown
1781,Egypt
1782,United States
1783,United States
1784,France
1785,United Kingdom
1786,Spain
1787,Canada
1788,Sweden
1789,United States
1790,Israel
1791,Turkey
1792,Netherlands
1793,France
1794,France
1795,Netherlands
1796,Pakistan
1797,United States
1798,Ethiopia
1799,Unknown
1800,Germany
1801,France
1802,Italy
1803,Mexico
1804,Spain
1805,France
1806,Egypt
1807,Netherlands
1808,Unknown
1809,Italy
1810,Unknown
1811,France
1812,Egypt
1813,Hong Kong
