study_id,intervention_type,name,description
219,Biological,Pfizer-BioNTech COVID-19 Vaccine,Not Specified
219,Biological,Placebo,Not Specified
220,Biological,exchange blood transfusion from normal donor,Not Specified
220,Biological,plasma from convalescent patients with COVID-19,Not Specified
220,Drug,Methylene Blue 5 MG/ML,Not Specified
221,Drug,Anti-SARS-CoV-2 convalescent plasma,Not Specified
222,Drug,Remdesivir,Not Specified
222,Drug,Cenicriviroc,Not Specified
222,Drug,Icatibant,Not Specified
222,Drug,Pulmozyme,Not Specified
222,Drug,IC14,Not Specified
222,Drug,Celecoxib Famotidine,Not Specified
222,Drug,Narsoplimab,Not Specified
223,Diagnostic Test,COVID-19 testing,Not Specified
224,Biological,AG0302-COVID19,Not Specified
225,Drug,Sirolimus,Not Specified
226,Diagnostic Test,COVID-19 diagnostic PCR,Not Specified
227,Diagnostic Test,Humoral and cellular immunity,Not Specified
228,Drug,Hydroxychloroquine Sulfate 200 milligram (mg) Tab,Not Specified
229,Drug,Transfusion of COVID-19 convalescent plasma,Not Specified
230,Biological,AV-COVID-19,Not Specified
231,Procedure,Biological samples specific to research,Not Specified
231,Procedure,Clinical examination,Not Specified
231,Procedure,Telephone follow-up,Not Specified
233,Other,Exposure,Not Specified
234,Other,convalescent plasma from recovered COVID 19 donor,Not Specified
235,Biological,COVID-19 Convalescent Plasma (CCP),Not Specified
235,Biological,Placebo,Not Specified
236,Diagnostic Test,Quantitative analysis of anti-SARS-CoV-2-antibodies,Not Specified
236,Diagnostic Test,SARS-CoV-2 diagnostic rapid test,Not Specified
237,Other,Deep Venous Disease Diagnostic,Not Specified
238,Diagnostic Test,blood test for SARS-COV2 serology,Not Specified
239,Drug,IMUNOR,Not Specified
240,Other,ELMO PROJECT AT COVID-19: STUDY IN HUMANS,Not Specified
240,Device,ELMO PROJECT AT COVID-19: PROOF OF CONCEPT AND USABILITY,Not Specified
242,Biological,COVID-19 vaccine,Not Specified
243,Drug,Daily Vitamin D3,Not Specified
243,Drug,Daily placebo,Not Specified
243,Drug,Bolus vitamin D3,Not Specified
243,Drug,Bolus placebo,Not Specified
244,Biological,BNT162b2 mRNA Covid-19 Vaccine,Not Specified
247,Diagnostic Test,Sampling,Not Specified
248,Other,treated with hyperimmune plasma,Not Specified
249,Dietary Supplement,Bovine Lactoferrin,Not Specified
249,Dietary Supplement,Maltodextrin,Not Specified
250,Procedure,Covid ICU containment measures,Not Specified
251,Drug,Hydroxychloroquine - Daily Dosing,Not Specified
251,Drug,Hydroxychloroquine - Weekly Dosing,Not Specified
251,Other,Placebo oral tablet,Not Specified
251,Diagnostic Test,Monitoring Visit - Baseline,Not Specified
251,Diagnostic Test,Monitoring Visit - Week 4,Not Specified
251,Diagnostic Test,Monitoring Visit - Week 8,Not Specified
251,Other,Weekly Assessment,Not Specified
252,Other,SARS-CoV-2 and/or MIS-C Exposure,Not Specified
253,Other,Data monitoring for 48h within the first 24 hours of admission for COVID-19,Not Specified
254,Device,CovX,Not Specified
255,Biological,Gam-COVID-Vac,Not Specified
255,Other,Placebo,Not Specified
256,Diagnostic Test,VITROS Anti-SARS-CoV-2 IgG test,Not Specified
257,Behavioral,Nurse-Community-Family Partnership Intervention,Not Specified
258,Procedure,Expanded Hemodialysis for Covid19 maintenance hemodialysis patients,Not Specified
258,Procedure,Hemodialysis by protein-leaking dialyzer for Covid19 maintenance hemodialysis patients,Not Specified
259,Genetic,Single-Nucleotide Polymorphisms (SNP) within the TCRA/D region,Not Specified
259,Biological,Blood sample,Not Specified
259,Diagnostic Test,CT Scan,Not Specified
260,Diagnostic Test,Anti-SARS-CoV2 Serology,Not Specified
261,Other,Baseline and during hospitalization blood samples,Not Specified
261,Other,Baseline blood sample,Not Specified
262,Diagnostic Test,blood draw,Not Specified
262,Diagnostic Test,fingertip tests for POC assays,Not Specified
262,Diagnostic Test,saliva collection,Not Specified
262,Diagnostic Test,collection of swabs,Not Specified
263,Biological,Adsorbed SARS-CoV-2 (inactivated) vaccine,Not Specified
264,Diagnostic Test,realtime PCR,Not Specified
265,Other,Mechanical Trombectomy,Not Specified
266,Diagnostic Test,Anti-SARS-CoV2 Serology,Not Specified
266,Other,Questionnaire,Not Specified
267,Biological,AV-COVID-19,Not Specified
268,Drug,SARS-CoV-2 plasma,Not Specified
269,Diagnostic Test,COVID-19 nasal/pharyngeal swab,Not Specified
270,Drug,Vitamin D,Not Specified
270,Diagnostic Test,ELISA,Not Specified
271,Biological,COVID-19 convalescent plasma,Not Specified
272,Biological,Adsorbed COVID-19 (inactivated) Vaccine,Not Specified
272,Biological,Placebo,Not Specified
273,Other,BRESCİA-COVİD Respiratory Severity Scale,Not Specified
274,Other,No intervention,Not Specified
275,Behavioral,Physical activity,Not Specified
