study_id,agency,agency_class,lead_or_collaborator
72,Centers for Disease Control and Prevention,Other,Collaborator
72,Southeast Europe Center for Infectious Diseases Surveillance and Control,Other,Collaborator
72,EPICONCEPT,Other,Collaborator
73,Al-Neelain University,Other,Lead
73,University of Khartoum,Other,Collaborator
74,Mayo Clinic,Other,Lead
74,Society of Critical Care Medicine,Other,Collaborator
74,Boston University,Other,Collaborator
75,China National Biotec Group Company Limited,Industry,Lead
75,G42 Healthcare company,Other,Collaborator
75,Abu Dhabi Health Services Company,Other,Collaborator
75,"Wuhan Institute of Biological Products Co., Ltd",Other,Collaborator
75,Beijing Institute of Biological Products Co Ltd.,Other,Collaborator
76,"University Hospital, Basel, Switzerland",Other,Lead
76,Swiss Multiple Sclerosis Society,Other,Collaborator
77,Istituto Clinico Humanitas,Other,Lead
78,University of Calgary,Other,Lead
79,Royal Free Hospital NHS Foundation Trust,Other,Lead
80,Northwell Health,Other,Lead
81,"Simeone Andrulli, MD",Other,Lead
81,A. Manzoni Hospital,Other,Collaborator
82,"NOWDiagnostics, Inc.",Industry,Lead
83,University of Chile,Other,Lead
84,"NOWDiagnostics, Inc.",Industry,Lead
85,William Beaumont Hospitals,Other,Lead
86,University of Arkansas,Other,Lead
86,Patient-Centered Outcomes Research Institute,Other,Collaborator
87,Obafemi Awolowo University,Other,Lead
87,Borno State Ministry of Health,Other,Collaborator
87,Ogun State Ministry of Health,Other,Collaborator
87,Abia State Ministry of Health,Other,Collaborator
87,Sokoto State Ministry of Health,Other,Collaborator
87,Benue State Minsitry of Health,Other,Collaborator
87,University of Calabar Teaching Hospital,Other,Collaborator
88,"University Hospital, Strasbourg, France",Other,Lead
89,National Institute of Allergy and Infectious Diseases (NIAID),NIH,Lead
90,Poitiers University Hospital,Other,Lead
91,Richmond Pharmacology Limited,Industry,Lead
92,University of Ljubljana,Other,Lead
93,Mashhad University of Medical Sciences,Other,Lead
94,"University of Massachusetts, Worcester",Other,Lead
95,Centre Hospitalier Universitaire de Nice,Other,Lead
96,Centre Hospitalier Sud Essonne,Other,Lead
97,Sonde Health,Industry,Lead
98,Mayo Clinic,Other,Lead
99,Texas Cardiac Arrhythmia Research Foundation,Other,Lead
100,Temple University,Other,Lead
100,"Dialysis Clinic, Inc.",Industry,Collaborator
101,"International Centre for Diarrhoeal Disease Research, Bangladesh",Other,Lead
102,Centre Hospitalier Universitaire de Nīmes,Other,Lead
103,Universidade Nova de Lisboa,Other,Lead
104,Al-Azhar University,Other,Lead
105,University of Milano Bicocca,Other,Lead
106,Izmir Bakircay University,Other,Lead
106,Cigli Regional Training Hospital,Other,Collaborator
106,Muğla Sıtkı Koçman University,Other,Collaborator
107,Tanta University,Other,Lead
108,Universidad del Rosario,Other,Lead
108,CES University,Other,Collaborator
108,Instituto Distrital de Ciencia Biotecnologia e Innovacion en salud,Other,Collaborator
108,Fundación Universitaria de Ciencias de la Salud,Other,Collaborator
109,Magdalena Salcedo,Other,Lead
109,Hospital General Universitario Gregorio Marañon,Other,Collaborator
110,ANNA FALANGA,Other,Lead
110,A.O. Ospedale Papa Giovanni XXIII,Other,Collaborator
111,University of Manitoba,Other,Lead
111,Public Health Agency of Canada (PHAC),Other,Collaborator
111,Cadham Provincial Lab,Other,Collaborator
112,"University Hospital, Toulouse",Other,Lead
113,Fundacion para la Investigacion Biomedica del Hospital Universitario la Paz,Other,Lead
114,Hospices Civils de Lyon,Other,Lead
115,University of Milano Bicocca,Other,Lead
116,Universidad del Rosario,Other,Lead
116,Fundación Universitaria de Ciencias de la Salud,Other,Collaborator
116,CES University,Other,Collaborator
116,Instituto Distrital de Ciencia Biotecnología e Innovacion en Salud,Other,Collaborator
117,Seoul National University Hospital,Other,Lead
117,"Dong-A ST Co., Ltd.",Industry,Collaborator
118,Kanuni Sultan Suleyman Training and Research Hospital,Other,Lead
118,Ayşegül Bestel,Other,Collaborator
118,İbrahim Polat,Other,Collaborator
118,Merve Aldıkaçtıoğlu Talmaç,Other,Collaborator
119,King's College London,Other,Lead
119,Guy's and St Thomas' NHS Foundation Trust,Other,Collaborator
120,Assistance Publique - Hôpitaux de Paris,Other,Lead
121,"Han Xu, M.D., Ph.D., Sponsor-Investigator, IRB Chair",Industry,Lead
121,PPD,Other,Collaborator
121,"Medicine Invention Design, Inc",Other,Collaborator
122,IRCCS Policlinico S. Donato,Other,Lead
123,Meir Medical Center,Other,Lead
124,University Hospital Tuebingen,Other,Lead
125,IRCCS San Raffaele,Other,Lead
126,Rajavithi Hospital,Other,Lead
127,Tourcoing Hospital,Other,Lead
128,"ANRS, Emerging Infectious Diseases",Other,Lead
128,Institut de Recherche pour le Developpement,Other,Collaborator
128,Centre d'Infectiologie Charles Mérieux,Other,Collaborator
128,"University Hospital, Caen",Other,Collaborator
128,"Department of livestock and fisheries National animal health laboratory, Vientiane, Laos",Other,Collaborator
129,"AnGes, Inc.",Industry,Lead
129,Japan Agency for Medical Research and Development,Other,Collaborator
130,Centre Hospitalier Universitaire de Nīmes,Other,Lead
131,"University of Colorado, Denver",Other,Lead
132,Bezmialem Vakif University,Other,Lead
133,Hospital Italiano de Buenos Aires,Other,Lead
133,"National Agency for Scientific and Technological Promotion, Argentina",Other,Collaborator
134,Spartan Bioscience Inc.,Industry,Lead
134,Humber River Hospital,Other,Collaborator
134,The Ottawa Hospital,Other,Collaborator
135,Nordsjaellands Hospital,Other,Lead
135,University of Oxford,Other,Collaborator
135,Nykøbing Falster County Hospital,Other,Collaborator
136,IVAN J NUÑEZ GIL,Other,Lead
136,"St Carlos Hospital, Madrid, Spain",Other,Collaborator
137,Assiut University,Other,Lead
138,Assistance Publique - Hôpitaux de Paris,Other,Lead
138,"Institut National de la Santé Et de la Recherche Médicale, France",Other,Collaborator
139,"University Hospital Inselspital, Berne",Other,Lead
140,Vinmec Research Institute of Stem Cell and Gene Technology,Other,Lead
140,"National Institute of Hygiene and Epidemiology, Vietnam",Other,Collaborator
140,"National Hospital for Tropical Diseases, Hanoi, Vietnam",Other,Collaborator
140,"National Institute of Hematology and Blood Transfusion, Vietnam",Other,Collaborator
141,"University Hospital, Angers",Other,Lead
142,Lucira Health Inc,Industry,Lead
143,"University of Wisconsin, Madison",Other,Lead
143,National Institutes of Health (NIH),NIH,Collaborator
143,AIDS Vaccine Research Lab,Other,Collaborator
144,Tepecik Training and Research Hospital,Other,Lead
145,Liaquat University of Medical & Health Sciences,Other,Lead
146,Assistance Publique - Hôpitaux de Paris,Other,Lead
146,"Action, France",Other,Collaborator
147,"University Hospital, Rouen",Other,Lead
148,"Institute of Agrochemistry and Food Technology, National Research Council",Other,Lead
148,Hospital Universitario La Fe,Industry,Collaborator
148,INCLIVA,Other,Collaborator
148,Hospital Clínico Universitario de Valencia,Other,Collaborator
148,Hospital Universitario Doctor Peset,Other,Collaborator
148,Universidad de Granada,Other,Collaborator
148,Universitat Jaume I,Other,Collaborator
148,Hospital Sant Joan de Deu,Other,Collaborator
148,"Fetal Medicine Research Center, Spain",Other,Collaborator
148,Instituto de Investigación Sanitaria Aragón,Other,Collaborator
149,Instituto de Investigación Marqués de Valdecilla,Other,Lead
149,Hospital Universitario Marqués de Valdecilla,Other,Collaborator
149,Hospital Universitario de Canarias,Other,Collaborator
149,Hospital San Pedro de Alcántara,Other,Collaborator
150,"University Hospital, Lille",Other,Lead
151,Barcelona Institute for Global Health,Other,Lead
151,Hospital Clinic of Barcelona,Other,Collaborator
151,Laboratorios Rubió,Other,Collaborator
151,Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,Other,Collaborator
151,Hospital Plató,Other,Collaborator
151,Hospital de Granollers,Other,Collaborator
152,Washington University School of Medicine,Other,Lead
152,COVID -19 Therapeutics Accelerator,Other,Collaborator
153,Paris Translational Research Center for Organ Transplantation,Other,Lead
153,Agence de La Biomédecine,Other,Collaborator
153,Eurotransplant,Other,Collaborator
153,United Network for Organ Sharing,Other,Collaborator
153,Deutsche Stiftung Organtransplantation,Other,Collaborator
153,Centro Nazionale Trapianti,Other,Collaborator
153,Brazilian Organ Transplant Association,Other,Collaborator
153,The Canadian Association of Transplantation,Other,Collaborator
153,Scandiatransplant,Other,Collaborator
153,Nederlandse Transplantatie Vereniging,Other,Collaborator
153,Austrotransplant,Other,Collaborator
153,Centro Nacional de Trasplantes,Other,Collaborator
153,"Instituto Nacional de Donación y Trasplante de Células, Tejidos y Órganos",Other,Collaborator
153,Donor Network of Croatia,Other,Collaborator
153,Instituto Nacional Central Único Coordinador de Ablación e Implante,Other,Collaborator
153,Corporación Nacional de Trasplantes de Chile,Other,Collaborator
153,Australian Organ and Tissue Donation and Transplantation Authority,Other,Collaborator
153,Organización Nacional de Trasplantes,Other,Collaborator
153,Autoridade Para Services de Sangue e Transplantacáo,Other,Collaborator
154,Ottawa Heart Institute Research Corporation,Other,Lead
155,University of Milano Bicocca,Other,Lead
156,Mansoura University,Other,Lead
157,"Institut National de la Santé Et de la Recherche Médicale, France",Other,Lead
158,University of Michigan,Other,Lead
159,Hopital Foch,Other,Lead
160,Fundació Institut Germans Trias i Pujol,Other,Lead
160,Anaxomics SL,Other,Collaborator
160,"Fundación FLS de Lucha Contra el Sida, las Enfermedades Infecciosas y la Promoción de la Salud y la Ciencia",Other,Collaborator
160,Fundació Sant Joan de Déu,Other,Collaborator
161,Assistance Publique - Hôpitaux de Paris,Other,Lead
162,Joakim Dillner,Other,Lead
162,Karolinska Institutet,Other,Collaborator
162,Danderyd Hospital,Other,Collaborator
162,Falu Hospital,Other,Collaborator
162,Karolinska University Hospital,Other,Collaborator
163,Adaptive Biotechnologies,Industry,Lead
163,Covance,Other,Collaborator
164,Hong Kong Sanatorium & Hospital,Industry,Lead
165,Pontificia Universidad Catolica de Chile,Other,Lead
165,Fundacion Arturo Lopez Perez,Other,Collaborator
166,Mach-E B.V.,Industry,Lead
167,University of Manitoba,Other,Lead
167,"Natural Sciences and Engineering Research Council, Canada",Other,Collaborator
167,"ID Fusion Software, Inc.",Other,Collaborator
167,Function Four Ltd.,Other,Collaborator
168,Centre Hospitalier de Cornouaille,Other,Lead
168,Centre Hospitalier Régional et Universitaire de Brest,Other,Collaborator
169,Centre Hospitalier Universitaire de Nice,Other,Lead
170,"Services Institute of Medical Sciences, Pakistan",Other,Lead
171,South Egypt Cancer Institute,Other,Lead
172,Azienda Ospedaliera San Paolo,Other,Lead
173,Cadila Pharnmaceuticals,Industry,Lead
173,"Council of Scientific and Industrial Research, India",Other,Collaborator
174,Direction Centrale du Service de Santé des Armées,Other,Lead
175,Assiut University,Other,Lead
176,Methodist Health System,Other,Lead
177,Assiut University,Other,Lead
178,Assiut University,Other,Lead
179,University of Erlangen-Nürnberg Medical School,Other,Lead
180,Hospital Son Llatzer,Other,Lead
180,Fundació d'investigació Sanitària de les Illes Balears,Other,Collaborator
181,Centre Hospitalier Intercommunal Creteil,Other,Lead
181,Association Clinique Thérapeutique Infantile du val de Marne,Other,Collaborator
181,GPIP,Other,Collaborator
181,Société Française de Pédiatrie,Other,Collaborator
181,GFRUP,Other,Collaborator
182,Assiut University,Other,Lead
183,Sohag University,Other,Lead
184,Centre de recherche du Centre hospitalier universitaire de Sherbrooke,Other,Lead
184,"University Hospital, Angers",Other,Collaborator
185,Unidad de Investigación Genética Molecular,Other,Lead
185,Universidad de Antioquia,Other,Collaborator
186,Zhenhua Zen,Other,Lead
186,Nanfang Hospital of Southern Medical University,Other,Collaborator
187,Jessa Hospital,Other,Lead
187,Hasselt University,Other,Collaborator
187,"University Hospital, Antwerp",Other,Collaborator
188,Groupe Hospitalier Paris Saint Joseph,Other,Lead
189,Hamad Medical Corporation,Industry,Lead
190,Lucira Health Inc,Industry,Lead
191,Mario Negri Institute for Pharmacological Research,Other,Lead
192,Ruijin Hospital,Other,Lead
193,"National Institute of Medical Sciences and Nutrition, Salvador Zubiran",Other,Lead
194,Institut de Recherches Cliniques de Montreal,Other,Lead
195,The University of Texas Health Science Center at San Antonio,Other,Lead
196,Fundacion para la Formacion e Investigacion Sanitarias de la Region de Murcia,Other,Lead
197,University of Palermo,Other,Lead
198,KK Women's and Children's Hospital,Other,Lead
198,Duke-NUS Graduate Medical School,Other,Collaborator
198,"National University Hospital, Singapore",Other,Collaborator
198,Singapore General Hospital,Other,Collaborator
198,Sengkang General Hospital,Other,Collaborator
198,Changi General Hospital,Other,Collaborator
199,Agencia Costarricense de Investigaciones Biomedicas,Other,Lead
199,Caja Costarricense de Seguro Social,Other,Collaborator
199,Fundación INCIENSA (FUNIN),Other,Collaborator
199,Ministerio de Salud de Costa Rica,Other,Collaborator
199,"Institutos Nacionales de Salud, USA Instituto Alemán del Cáncer",Other,Collaborator
199,Agencia Costarricense de Investigaciones Biomedicas (ACIB),Other,Collaborator
200,University of Sao Paulo General Hospital,Other,Lead
201,State University of New York at Buffalo,Other,Lead
202,"University Hospital, Toulouse",Other,Lead
203,Jessa Hospital,Other,Lead
204,Caja Costarricense de Seguro Social,Other,Lead
204,Universidad de Costa Rica,Other,Collaborator
204,Ministry of Health Costa Rica,Other,Collaborator
205,Medical College of Wisconsin,Other,Lead
205,Froedtert Hospital,Other,Collaborator
206,"University Hospital, Lille",Other,Lead
207,"University Hospital, Grenoble",Other,Lead
207,Commissariat A L'energie Atomique,Other,Collaborator
208,Deborah O'Connor,Other,Lead
208,University of Toronto,Other,Collaborator
208,Sinai Health System,Other,Collaborator
208,The Hospital for Sick Children,Other,Collaborator
209,Tata Main Hospital,Other,Lead
210,Mayo Clinic,Other,Lead
211,Centro Medico ABC,Other,Lead
212,"University Hospital, Montpellier",Other,Lead
213,Rennes University Hospital,Other,Lead
214,Groupe Hospitalier Paris Saint Joseph,Other,Lead
215,Instituto Mexicano del Seguro Social,Other,Lead
216,National Institute of Allergy and Infectious Diseases (NIAID),NIH,Lead
216,Immune Tolerance Network (ITN),Other,Collaborator
216,"Rho Federal Systems Division, Inc.",Industry,Collaborator
217,Ain Shams University,Other,Lead
218,University of the Philippines,Other,Lead
219,QuantumLeap Healthcare Collaborative,Other,Lead
219,"University of California, San Francisco",Other,Collaborator
219,University of Pennsylvania,Other,Collaborator
219,University of Minnesota,Other,Collaborator
219,Emory University,Other,Collaborator
219,University of Alabama at Birmingham,Other,Collaborator
219,"University of California, San Diego",Other,Collaborator
219,"University of Colorado, Denver",Other,Collaborator
219,University of Southern California,Other,Collaborator
219,Yale University,Other,Collaborator
219,Columbia University,Other,Collaborator
219,Wake Forest University Health Sciences,Other,Collaborator
219,Sanford Health,Other,Collaborator
219,Montefiore Medical Center,Other,Collaborator
219,Long Beach Memorial Medical Center,Other,Collaborator
219,Georgetown University,Other,Collaborator
219,Kalispell Regional Medical Center,Other,Collaborator
220,Pinnacle Health Cardiovascular Institute,Other,Lead
221,"AnGes, Inc.",Industry,Lead
222,Alexandria University,Other,Lead
223,Kanuni Sultan Suleyman Training and Research Hospital,Other,Lead
224,Institute of Biophysics and Cell Engineering of National Academy of Sciences of Belarus,Other,Lead
224,Belarusian State Medical University,Other,Collaborator
224,The Republican Research and Practical Center for Epidemiology and Microbiology,Other,Collaborator
225,Tan Tock Seng Hospital,Other,Lead
225,National Center for Infectious Diseases,Other,Collaborator
225,Singapore Clinical Research Institute,Other,Collaborator
225,Singapore Eye Research Institute,Other,Collaborator
225,Saw Swee Hock School of Public Health,Other,Collaborator
225,Duke-NUS Graduate Medical School,Other,Collaborator
225,"Netherlands: Ministry of Health, Welfare and Sports",Other,Collaborator
226,Assistance Publique - Hôpitaux de Paris,Other,Lead
226,Etablissement Français du Sang,Other,Collaborator
227,"Aivita Biomedical, Inc.",Industry,Lead
228,"Central Hospital, Nancy, France",Other,Lead
229,Assistance Publique - Hôpitaux de Paris,Other,Lead
230,Universidade Nova de Lisboa,Other,Lead
230,NOVA Medical School of Universidade NOVA de Lisboa,Other,Collaborator
230,"Hospital de São Francisco Xavier, Centro Hospitalar de Lisboa Ocidental",Other,Collaborator
230,Centro Hospitalar Universitário São João,Other,Collaborator
230,CUF Academic and Research Medical Center,Other,Collaborator
230,"Hospital CUF Infante Santo, S.A.",Other,Collaborator
230,"Centro de Medicina Laboratorial Germano de Sousa, S.A.",Other,Collaborator
230,CINTESIS - Center for Health Technology and Services Research,Other,Collaborator
231,King Fahad Specialist Hospital Dammam,Other,Lead
231,King Fahad Medical City,Other,Collaborator
231,King Faisal Specialist Hospital And Research Center,Other,Collaborator
231,King Abdulaziz Medical City,Other,Collaborator
231,King Fahad University Hospital,Other,Collaborator
231,John Hopkins Aramco Healthcare,Other,Collaborator
231,Taibah University,Other,Collaborator
231,King Saud University,Other,Collaborator
231,King Khaled University Hospital,Other,Collaborator
231,King Fahad Military Medical Complex,Other,Collaborator
231,Qatif Central Hospital,Other,Collaborator
232,"Priscilla Hsue, MD",Other,Lead
232,Blood Systems Research Institute,Other,Collaborator
232,San Francisco General Hospital,Other,Collaborator
232,"University of California, San Francisco",Other,Collaborator
233,Institute of Health Information and Statistics of the Czech Republic,Other,Lead
233,"Ministry of Health, Czech Republic",Other,Collaborator
233,"Faculty of Medicine, Masaryk University",Other,Collaborator
233,Institute for Clinical and Experimental Medicine,Other,Collaborator
233,Brno University Hospital,Other,Collaborator
233,"St. Anne's University Hospital Brno, Czech Republic",Other,Collaborator
233,Masaryk Memorial Cancer Institute,Other,Collaborator
233,"Regional Public Health Office of the South Moravian Region based in Brno, Czech Republic",Other,Collaborator
233,"Public Health Office of the Capital City of Prague, Czech Republic",Other,Collaborator
233,"Regional Public Health Office of the Central Bohemian Region based in Prague, Czech Republic",Other,Collaborator
234,Sociedad Espanola de Angiologia y Cirugia Vascular,Other,Lead
235,"Institut National de la Santé Et de la Recherche Médicale, France",Other,Lead
235,Samusocial de Paris,Other,Collaborator
235,Assistance Publique - Hôpitaux de Paris,Other,Collaborator
236,University Hospital Ostrava,Other,Lead
237,Escola de Saúde Pública do Ceará,Other,Lead
238,Fundacion SEIMC-GESIDA,Other,Lead
239,Pregistry,Industry,Lead
239,Harvard School of Public Health,Other,Collaborator
240,Medical University of South Carolina,Other,Lead
240,Grassroots Health Nutrition Institute,Other,Collaborator
240,ZRT Laboratory,Other,Collaborator
241,University of Roma La Sapienza,Other,Lead
241,ICOT University Hospital,Other,Collaborator
242,"University Hospital, Montpellier",Other,Lead
242,"Pr. Jean-Benoît THAMBO, Bordeaux (président)",Other,Collaborator
242,"Dr. Céline GRUNENWALD GRONIER, Strasbourg",Other,Collaborator
242,"Dr. Sébastien HASCOET, Le Plessis-Robinson",Other,Collaborator
242,"Dr. Adeline BASQUIN, Rennes",Other,Collaborator
242,"Dr. Nicolas COMBES, Toulouse",Other,Collaborator
242,"Dr. Xavier IRIART, Bordeaux",Other,Collaborator
242,"Dr. Daniela LAUX, Paris",Other,Collaborator
