study_id,condition_name,mesh_term
215,RENAL REPLACEMENT THERAPY,Not Specified
215,ACUTE KIDNEY INJURY,Not Specified
216,COVID-19,Not Specified
217,COVID-19,Not Specified
218,HEALTH BEHAVIOR,Not Specified
218,RISK-TAKING,Not Specified
218,COVID-19,Not Specified
219,COVID-19,Not Specified
219,COVID-19,Not Specified
219,ALLERGIC REACTION,Not Specified
219,MAST CELL DISORDER,Not Specified
219,NON-ATOPIC,Not Specified
220,COVID-19,Not Specified
221,COVID-19,Not Specified
222,COVID-19,Not Specified
223,COVID-19,Not Specified
224,COVID-19,Not Specified
225,COVID-19,Not Specified
226,COVID-19,Not Specified
227,COVID-19,Not Specified
228,COVID-19,Not Specified
228,HYDROXYCHLOROQUINE ADVERSE REACTION,Not Specified
229,COVID-19,Not Specified
230,COVID-19,Not Specified
231,COVID-19,Not Specified
232,COVID-19,Not Specified
233,COVID-19,Not Specified
234,COVID-19,Not Specified
235,COVID-19,Not Specified
235,COVID-19,Not Specified
236,COVID-19,Not Specified
236,COVID-19,Not Specified
237,COVID-19,Not Specified
238,COVID-19,Not Specified
239,COVID-19,Not Specified
240,COVID-19,Not Specified
240,RESPIRATORY FAILURE,Not Specified
241,COVID-19,Not Specified
242,COVID-19,Not Specified
243,COVID-19,Not Specified
243,VITAMIN D DEFICIENCY,Not Specified
243,VIRAL INFECTION,Not Specified
244,COVID-19,Not Specified
245,CONGENITAL HEART DISEASE,Not Specified
245,COVID-19,Not Specified
246,COVID-19,Not Specified
246,COVID-19,Not Specified
246,COVID-19,Not Specified
247,COVID-19,Not Specified
247,COVID-19,Not Specified
248,COVID-19,Not Specified
249,COVID-19,Not Specified
250,COVID-19,Not Specified
250,FAMILY MEMBERS,Not Specified
250,CRITICAL ILLNESS,Not Specified
251,COVID-19,Not Specified
251,COVID-19,Not Specified
251,COVID-19,Not Specified
251,COVID-19,Not Specified
252,COVID-19,Not Specified
252,MULTISYSTEM INFLAMMATORY SYNDROME IN CHILDREN (MIS-C),Not Specified
252,COVID-19,Not Specified
253,COVID-19,Not Specified
254,COVID-19,Not Specified
255,COVID-19,Not Specified
256,COVID-19,Not Specified
257,COVID-19,Not Specified
258,COVID-19,Not Specified
258,HEMODIALYSIS COMPLICATION,Not Specified
258,INFLAMMATORY RESPONSE,Not Specified
259,COVID-19,Not Specified
260,COVID-19,Not Specified
261,COVID-19,Not Specified
262,COVID-19,Not Specified
263,COVID-19,Not Specified
264,COVID-19,Not Specified
265,ISCHEMIC STROKE,Not Specified
265,COVID-19,Not Specified
266,COVID-19,Not Specified
267,COVID-19,Not Specified
268,SARS,Not Specified
268,COVID-19,Not Specified
269,COVID-19,Not Specified
270,COVID-19,Not Specified
